code,ticker,company_name,market,sector,market_equity_final,market_equity_method,book_equity,net_income,pbr_raw,per_raw,bm_raw,bm_method,ep_raw,ep_method,bm_winsorized,ep_winsorized,bm_available,ep_available,value_metric_quality_flag,notes,anomaly_flags,gross_profitability,gross_profitability_available,available_signal_score,available_signal_max,sloan_accruals,sloan_accruals_winsorized,distress_review_flag,distress_exclusion_flag,distress_reason,avg_daily_value_60d,liquidity_flag,liquidity_exclusion_flag,anomaly_flags_review,microcap_flag,one_time_profit_suspected,bm_percentile,ep_percentile,gross_profitability_percentile,sloan_accruals_percentile,piotroski_available_ratio,phase1_final_candidate,selection_cell,distress_flags,liquidity,human_review_required,tie_break_reason,adoption_rationale,latest_price
5985,5985.T,SUNCALL CORPORATION,Standard Market(Domestic),Metal Products,51071107072.0,raw_market_cap,26592000000.0,-2285000000.0,1.4927381,8.226798,0.5206857952483901,book_equity_over_market_equity,,missing,0.5206857952483901,,True,False,A_raw_market_cap,net_income_nonpositive_or_missing,,0.1530939987025932,True,4.0,6,-0.0462379547689282,-0.0462379547689282,False,True,two_year_net_loss,4600344573.333333,pass,False,,False,False,0.2563936549044998,,0.210387902695595,0.7218241042345277,0.6666666666666666,False,OtherValuexQualityMissingOrLow,two_year_net_loss,4600344573.333333,False,"Sequential tie-break: High Value x High Quality, gross profitability percentile, E/P percentile, B/M percentile, Piotroski ratio, lower Sloan accruals, liquidity, market equity.","Passes academic value, quality, financial strength, earnings quality, distress, and liquidity screens.",1686.0
2153,2153.T,E・J Holdings Inc.,Prime Market (Domestic),Services,29147381120.0,close_times_edinet_shares_outstanding,34053000000.0,3203000000.0,,,1.1683039330293012,book_equity_over_market_equity,0.109889804055233,net_income_over_market_equity,1.1683039330293012,0.109889804055233,True,True,B_price_times_shares,,,0.2740189575282152,True,3.0,6,-0.019949911167241,-0.019949911167241,False,False,,114817305.0,pass,False,,False,False,0.66461638070573,0.769090909090909,0.5364891518737672,0.5078175895765472,0.5,False,OtherValuexHighQuality,,114817305.0,False,"Sequential tie-break: High Value x High Quality, gross profitability percentile, E/P percentile, B/M percentile, Piotroski ratio, lower Sloan accruals, liquidity, market equity.","Passes academic value, quality, financial strength, earnings quality, distress, and liquidity screens.",1586.0
6648,6648.T,KAWADEN CORPORATION,Standard Market(Domestic),Electric Appliances,5538332800.0,close_times_edinet_shares_outstanding,17744301000.0,1963138000.0,,,3.203906598028923,book_equity_over_market_equity,0.3544637115342725,net_income_over_market_equity,3.203906598028923,0.3544637115342725,True,True,B_price_times_shares,,,0.3153164610373536,True,4.0,6,0.0177810487014362,0.0177810487014362,False,False,,162615866.66666666,pass,False,,False,False,0.970864357397216,0.982909090909091,0.6170282708744247,0.2218241042345277,0.6666666666666666,False,HighValuexHighQuality,,162615866.66666666,False,"Sequential tie-break: High Value x High Quality, gross profitability percentile, E/P percentile, B/M percentile, Piotroski ratio, lower Sloan accruals, liquidity, market equity.","Passes academic value, quality, financial strength, earnings quality, distress, and liquidity screens.",1729.0
6327,6327.T,"KITAGAWA SEIKI CO.,LTD.",Standard Market(Domestic),Machinery,40559112000.0,close_times_edinet_shares_outstanding,5077610000.0,394688000.0,,,0.1251903641282876,book_equity_over_market_equity,0.0097311795189204,net_income_over_market_equity,0.1251903641282876,0.0097311795189204,True,True,B_price_times_shares,,,0.1586034812865975,True,4.0,6,0.0083796721483673,0.0083796721483673,False,False,,1635228620.0,pass,False,,False,False,0.0191000323729362,0.0214545454545454,0.2248520710059171,0.2719869706840391,0.6666666666666666,False,OtherValuexQualityMissingOrLow,,1635228620.0,False,"Sequential tie-break: High Value x High Quality, gross profitability percentile, E/P percentile, B/M percentile, Piotroski ratio, lower Sloan accruals, liquidity, market equity.","Passes academic value, quality, financial strength, earnings quality, distress, and liquidity screens.",4980.0
4368,4368.T,"FUSO CHEMICAL CO.,LTD.",Prime Market (Domestic),Chemicals,157775075000.0,close_times_edinet_shares_outstanding,104048977000.0,11622785000.0,,,0.6594766442037818,book_equity_over_market_equity,0.0736668006654409,net_income_over_market_equity,0.6594766442037818,0.0736668006654409,True,True,B_price_times_shares,,,0.1835390380964812,True,6.0,6,-0.0805018258570139,-0.0805018258570139,False,False,,2355934975.1916504,pass,False,,False,False,0.3531887342181936,0.5014545454545455,0.3067061143984221,0.8775244299674267,1.0,False,OtherValuexQualityMissingOrLow,,2355934975.1916504,False,"Sequential tie-break: High Value x High Quality, gross profitability percentile, E/P percentile, B/M percentile, Piotroski ratio, lower Sloan accruals, liquidity, market equity.","Passes academic value, quality, financial strength, earnings quality, distress, and liquidity screens.",4475.0
6745,6745.T,HOCHIKI CORPORATION,Prime Market (Domestic),Electric Appliances,48405558000.0,close_times_edinet_shares_outstanding,59321000000.0,7688000000.0,,,1.2254997659566285,book_equity_over_market_equity,0.1588247366139235,net_income_over_market_equity,1.2254997659566285,0.1588247366139235,True,True,B_price_times_shares,,,0.4143996430762366,True,6.0,6,-0.047870637207813,-0.047870637207813,False,False,,705398966.8503824,pass,False,,False,False,0.6859825186144384,0.9014545454545456,0.7357001972386588,0.7328990228013029,1.0,False,OtherValuexHighQuality,,705398966.8503824,False,"Sequential tie-break: High Value x High Quality, gross profitability percentile, E/P percentile, B/M percentile, Piotroski ratio, lower Sloan accruals, liquidity, market equity.","Passes academic value, quality, financial strength, earnings quality, distress, and liquidity screens.",1930.0
9502,9502.T,"Chubu Electric Power Company,Incorporated",Prime Market (Domestic),Electric Power and Gas,2142673829888.0,raw_market_cap,2858530000000.0,209137000000.0,0.6827594,9.405776,1.3340947932095752,book_equity_over_market_equity,0.0976056164418323,net_income_over_market_equity,1.3340947932095752,0.0976056164418323,True,True,A_raw_market_cap,,,,False,4.0,6,-0.0098584336286686,-0.0098584336286686,False,False,,8361451579.166667,pass,False,,False,False,0.7261249595338297,0.6912727272727273,,0.409771986970684,0.6666666666666666,False,HighValuexQualityMissingOrLow,,8361451579.166667,False,"Sequential tie-break: High Value x High Quality, gross profitability percentile, E/P percentile, B/M percentile, Piotroski ratio, lower Sloan accruals, liquidity, market equity.","Passes academic value, quality, financial strength, earnings quality, distress, and liquidity screens.",2836.5
6695,6695.T,"Castrico Co.,Ltd.",PRO Market,Electric Appliances,339600000.0,close_times_edinet_shares_outstanding,1475287000.0,79591000.0,,,4.3441902237926975,book_equity_over_market_equity,0.2343669022379269,net_income_over_market_equity,4.3441902237926975,0.2343669022379269,True,True,B_price_times_shares,,,0.3326533251810742,True,3.0,6,,,False,False,,0.0,exclude,True,,True,False,0.9883457429588864,0.9607272727272728,0.6374095989480605,,0.5,False,HighValuexHighQuality,,0.0,True,"Sequential tie-break: High Value x High Quality, gross profitability percentile, E/P percentile, B/M percentile, Piotroski ratio, lower Sloan accruals, liquidity, market equity.","Passes academic value, quality, financial strength, earnings quality, distress, and liquidity screens.",150.0
1662,1662.T,"Japan Petroleum Exploration Co.,Ltd.",Prime Market (Domestic),Mining,448766967808.0,raw_market_cap,557257000000.0,82848000000.0,0.7150951,8.396399,1.2417513764926127,book_equity_over_market_equity,0.1846125181732306,net_income_over_market_equity,1.2417513764926127,0.1846125181732306,True,True,A_raw_market_cap,,,0.1454772461186799,True,6.0,6,-0.0713848372396512,-0.0713848372396512,False,False,,7950185018.333333,pass,False,,False,False,0.6931045645840078,0.9327272727272728,0.1890203813280736,0.849185667752443,1.0,False,OtherValuexQualityMissingOrLow,,7950185018.333333,False,"Sequential tie-break: High Value x High Quality, gross profitability percentile, E/P percentile, B/M percentile, Piotroski ratio, lower Sloan accruals, liquidity, market equity.","Passes academic value, quality, financial strength, earnings quality, distress, and liquidity screens.",1753.0
6994,6994.T,SHIZUKI ELECTRIC COMPANY INC.,Standard Market(Domestic),Electric Appliances,32731131888.0,close_times_edinet_shares_outstanding,23747003000.0,1254784000.0,,,0.7255173173130077,book_equity_over_market_equity,0.038336101675116,net_income_over_market_equity,0.7255173173130077,0.038336101675116,True,True,B_price_times_shares,,,0.1834253046010357,True,4.0,6,-0.06171374962826,-0.06171374962826,False,False,,528394041.6666667,pass,False,,False,False,0.4011006798316607,0.1723636363636363,0.3060486522024984,0.8149837133550488,0.6666666666666666,False,OtherValuexQualityMissingOrLow,,528394041.6666667,False,"Sequential tie-break: High Value x High Quality, gross profitability percentile, E/P percentile, B/M percentile, Piotroski ratio, lower Sloan accruals, liquidity, market equity.","Passes academic value, quality, financial strength, earnings quality, distress, and liquidity screens.",1296.0
