rank,code,company_name,market,sector,market_equity,bm_raw,bm_percentile,ep_raw,ep_percentile,gross_profitability,gross_profitability_percentile,piotroski_available_score,piotroski_available_max,piotroski_available_ratio,sloan_accruals,sloan_accruals_percentile,distress_flags,distress_review_flag,distress_exclusion_flag,liquidity,liquidity_flag,liquidity_exclusion_flag,anomaly_flags,selection_cell,tie_break_reason,final20_type,human_review_required,adoption_rationale,inclusion_note
11,9993,"YAMAZAWA CO.,LTD.",Standard Market(Domestic),Retail Trade,11868565300.0,2.2533473359244187,0.9100032372936224,0.1307655947260955,0.8512727272727273,0.5703452788790947,0.854043392504931,6.0,6,1.0,-0.0817966243548612,0.8830618892508143,,False,False,5521326.666666667,review,False,,HighValuexHighQuality,"Sequential tie-break: High Value x High Quality, gross profitability percentile, E/P percentile, B/M percentile, Piotroski available signal ratio, lower Sloan accruals, lower distress risk, higher liquidity, higher market cap, then sector constraint.",base,True,"Meets Phase1 academic value, quality, financial strength, earnings quality, distress, and tradability screens.",selected_by_sequential_tie_break
12,9890,"MAKIYA CO.,LTD.",Standard Market(Domestic),Retail Trade,14580516500.0,1.4262413817782107,0.7604402719326643,0.1027303799560187,0.7261818181818182,0.5452643565409993,0.8408941485864563,5.0,6,0.8333333333333334,-0.041234495098717,0.6840390879478828,,False,False,12632175.0,pass,False,,HighValuexHighQuality,"Sequential tie-break: High Value x High Quality, gross profitability percentile, E/P percentile, B/M percentile, Piotroski available signal ratio, lower Sloan accruals, lower distress risk, higher liquidity, higher market cap, then sector constraint.",base,False,"Meets Phase1 academic value, quality, financial strength, earnings quality, distress, and tradability screens.",selected_by_sequential_tie_break
13,8167,"RETAIL PARTNERS CO.,LTD.",Prime Market (Domestic),Retail Trade,54095906340.0,1.6951559961607254,0.840401424409194,0.0949794605105048,0.6730909090909091,0.5440065765812053,0.8399079552925707,4.0,6,0.6666666666666666,-0.0341313521500169,0.6241042345276873,,False,False,116230200.0,pass,False,,HighValuexHighQuality,"Sequential tie-break: High Value x High Quality, gross profitability percentile, E/P percentile, B/M percentile, Piotroski available signal ratio, lower Sloan accruals, lower distress risk, higher liquidity, higher market cap, then sector constraint.",base,False,"Meets Phase1 academic value, quality, financial strength, earnings quality, distress, and tradability screens.",selected_by_sequential_tie_break
14,7791,"DREAMBED CO.,LTD.",Standard Market(Domestic),Other Products,3210887680.0,1.4040154777385423,0.7539656846876012,0.1292763999767192,0.846909090909091,0.5325103089562963,0.834319526627219,6.0,6,1.0,-0.0060565374575988,0.3788273615635179,,False,False,3093548.3333333335,review,False,,HighValuexHighQuality,"Sequential tie-break: High Value x High Quality, gross profitability percentile, E/P percentile, B/M percentile, Piotroski available signal ratio, lower Sloan accruals, lower distress risk, higher liquidity, higher market cap, then sector constraint.",base,True,"Meets Phase1 academic value, quality, financial strength, earnings quality, distress, and tradability screens.",selected_by_sequential_tie_break
15,7034,"Prored Partners CO.,LTD.",Prime Market (Domestic),Services,4154008000.0,2.86284908454678,0.952411783748786,1.1281499698604336,0.9950909090909092,0.5221388794338729,0.8261012491781723,5.0,6,0.8333333333333334,-0.0526005521523473,0.7628664495114006,,False,False,14177910.0,pass,False,extreme_high_ep_top1pct;extreme_high_ep_top1pct,HighValuexHighQuality,"Sequential tie-break: High Value x High Quality, gross profitability percentile, E/P percentile, B/M percentile, Piotroski available signal ratio, lower Sloan accruals, lower distress risk, higher liquidity, higher market cap, then sector constraint.",base,True,"Meets Phase1 academic value, quality, financial strength, earnings quality, distress, and tradability screens.",selected_by_sequential_tie_break
16,2907,"AHJIKAN CO.,LTD.",Standard Market(Domestic),Foods,10366182000.0,1.6774522191487666,0.8352217546131434,0.1494230952148052,0.8905454545454545,0.5039429263337198,0.8129520052596976,6.0,6,1.0,-0.0699146606132848,0.8452768729641693,,False,False,5135173.333333333,review,False,,HighValuexHighQuality,"Sequential tie-break: High Value x High Quality, gross profitability percentile, E/P percentile, B/M percentile, Piotroski available signal ratio, lower Sloan accruals, lower distress risk, higher liquidity, higher market cap, then sector constraint.",base,True,"Meets Phase1 academic value, quality, financial strength, earnings quality, distress, and tradability screens.",selected_by_sequential_tie_break
17,8276,"HEIWADO CO.,LTD.",Prime Market (Domestic),Retail Trade,123637425000.0,1.6011494901321344,0.8200064745872451,0.0771611023118606,0.532,0.4902917640247307,0.8040762656147271,5.0,6,0.8333333333333334,-0.0244148751862063,0.5429967426710098,,False,False,328742838.3333333,pass,False,,HighValuexHighQuality,"Sequential tie-break: High Value x High Quality, gross profitability percentile, E/P percentile, B/M percentile, Piotroski available signal ratio, lower Sloan accruals, lower distress risk, higher liquidity, higher market cap, then sector constraint.",base,False,"Meets Phase1 academic value, quality, financial strength, earnings quality, distress, and tradability screens.",selected_by_sequential_tie_break
18,3172,"Tea Life Co.,Ltd.",Standard Market(Domestic),Retail Trade,4899319600.0,1.3128353577913146,0.7170605373907414,0.0926659285505685,0.6545454545454545,0.4695226159279936,0.7866535174227481,5.0,6,0.8333333333333334,-0.0081071951356829,0.3947882736156352,,False,False,3398263.3333333335,review,False,,HighValuexHighQuality,"Sequential tie-break: High Value x High Quality, gross profitability percentile, E/P percentile, B/M percentile, Piotroski available signal ratio, lower Sloan accruals, lower distress risk, higher liquidity, higher market cap, then sector constraint.",base,True,"Meets Phase1 academic value, quality, financial strength, earnings quality, distress, and tradability screens.",selected_by_sequential_tie_break
19,6430,"DAIKOKU DENKI CO.,LTD.",Prime Market (Domestic),Machinery,30849726720.0,1.4680010753754904,0.7743606345095501,0.2504875349508444,0.9676363636363636,0.4661222776211255,0.7853385930309007,4.0,6,0.6666666666666666,0.0010428298740779,0.3241042345276873,,False,False,161995896.66666666,pass,False,,HighValuexHighQuality,"Sequential tie-break: High Value x High Quality, gross profitability percentile, E/P percentile, B/M percentile, Piotroski available signal ratio, lower Sloan accruals, lower distress risk, higher liquidity, higher market cap, then sector constraint.",base,False,"Meets Phase1 academic value, quality, financial strength, earnings quality, distress, and tradability screens.",selected_by_sequential_tie_break
20,2499,"NIHONWASOU HOLDINGS,INC.",Standard Market(Domestic),Services,2529302400.0,1.4757452489666716,0.7785691162188411,0.0914252087848412,0.6432727272727272,0.4657963585779376,0.784681130834977,5.0,6,0.8333333333333334,-0.0170780475562322,0.4771986970684039,,False,False,4652681.666666667,review,False,,HighValuexHighQuality,"Sequential tie-break: High Value x High Quality, gross profitability percentile, E/P percentile, B/M percentile, Piotroski available signal ratio, lower Sloan accruals, lower distress risk, higher liquidity, higher market cap, then sector constraint.",base,True,"Meets Phase1 academic value, quality, financial strength, earnings quality, distress, and tradability screens.",selected_by_sequential_tie_break
