rank,code,ticker,company_name,sector,exploratory_weighted_score,bm_score,ep_score,gp_score,piotroski_score,sloan_quality_score,distress_safety_score,liquidity_score,anomaly_penalty,microcap_penalty,one_time_profit_penalty,missingness_penalty,bm_raw,ep_raw,gross_profitability,piotroski_available_ratio,sloan_accruals,avg_daily_value_60d,distress_exclusion_flag,anomaly_flags,is_phase1_top5,phase1_top5_name,phase3_handoff_note
673,5033,5033.T,Nulab Inc.,Information & Communication,0.7634161237690549,0.1796697960505018,0.8141818181818182,0.9053254437869822,0.8333333333333334,0.7514657980456025,1.0,0.132946111648919,0.0,0.0,0.0,0.0,0.4145044521043651,0.1200513921841556,0.6982411854887142,0.8333333333333334,-0.0508975675021647,4849441.666666667,False,,False,,Sensitivity reference pool.
674,3181,3181.T,"KAITORI OKOKU CO.,LTD.",Retail Trade,0.7631517975533961,0.559080608611201,0.716,0.9365548980933596,0.6666666666666666,0.49771986970684035,1.0,0.23943207486285897,0.0,0.0,0.0,0.0,0.9665596779757364,0.1017722052837317,0.8129842835260298,0.6666666666666666,-0.018936849867783,10752465.0,False,,False,,Sensitivity reference pool.
675,9360,9360.T,SUZUYO SHINWART CORPORATION,Information & Communication,0.7631297791778541,0.2699902881191324,0.8567272727272728,0.6978961209730441,0.8333333333333334,0.7908794788273615,1.0,0.1665053242981607,0.0,0.0,0.0,0.0,0.5434478088268697,0.1332712364883631,0.3800674286654058,0.8333333333333334,-0.0568306010928961,6320718.333333333,False,,False,,Sensitivity reference pool.
676,2301,2301.T,"GAKUJO CO.,Ltd.",Services,0.7630289161225356,0.3904176108773066,0.6356363636363637,0.7412886259040106,0.8333333333333334,0.3338762214983714,1.0,0.6802194256211681,0.0,0.0,0.0,0.0,0.7115196540052264,0.0904338499049888,0.4199498335345074,0.8333333333333334,-0.0003795425333604,219050666.66666663,False,,False,,Sensitivity reference pool.
677,9560,9560.T,PROGRIT Inc.,Services,0.7629803986269925,0.0848170929103269,0.730909090909091,0.9612097304404996,1.0,0.3661237785016287,1.0,0.4714424007744434,0.0,0.0,0.0,0.0,0.265319695077562,0.1033905889712733,0.9485789350963284,1.0,-0.0043841565521079,59027856.666666664,False,,False,,Sensitivity reference pool.
678,3657,3657.T,"Pole To Win Holdings,Inc.",Information & Communication,0.762913242658985,0.4486888960828747,0.5001818181818182,0.8109796186719264,0.5,0.9706840390879479,1.0,0.47692804130364636,0.0,0.0,0.0,0.16666666666666666,0.7940101375459673,,0.5010610715476839,0.5,-0.1523789658335083,60802366.666666664,False,,False,,Sensitivity reference pool.
679,7867,7867.T,"TOMY COMPANY,LTD.",Other Products,0.7628425550712897,0.1472968598251861,0.3327272727272727,0.8750821827744905,1.0,0.3618892508143322,1.0,0.8967408841561794,0.0,0.0,0.0,0.0,0.3711551235618009,0.0570347776296118,0.6113832418411052,1.0,-0.0039093794989488,1572488375.0,False,,False,,Sensitivity reference pool.
680,2438,2438.T,"Asukanet Company,Limited",Services,0.7622353020961232,0.5678213013920362,0.5001818181818182,0.7935568704799474,0.5,0.9752442996742671,1.0,0.36689254598257504,0.0,0.0,0.0,0.16666666666666666,0.9837315982940168,,0.4751252987244015,0.5,-0.16685594629057,29310848.333333332,False,,False,,Sensitivity reference pool.
681,3355,3355.T,KURIYAMA HOLDINGS CORPORATION,Wholesale Trade,0.7621094704792052,0.8125606992554225,0.84,0.584155161078238,0.5,0.354071661237785,1.0,0.5188770571151985,0.0,0.0,0.0,0.0,1.579664324670686,0.1265083898500015,0.2985063703211755,0.5,-0.0030678511135472,77897028.33333333,False,,False,,Sensitivity reference pool.
682,7939,7939.T,"KENSOH CO.,LTD.",Other Products,0.7620774341292096,0.797021689867271,0.5727272727272728,0.6124260355029586,0.8333333333333334,0.7771986970684039,1.0,0.016779606324620847,0.0,0.0,0.0,0.0,1.5283904463121882,0.0818873330809718,0.3127625180998077,0.8333333333333334,-0.0548102780957349,1373821.6666666667,False,,False,,Sensitivity reference pool.
683,8917,8917.T,"First Juken Co.,Ltd.",Real Estate,0.7619002683226299,0.9592101003561024,0.7509090909090909,0.108809993425378,0.8333333333333334,0.5306188925081433,1.0,0.425621168118748,0.0,0.0,0.0,0.0,2.986916140341566,0.107117960104081,0.1136701515496496,0.8333333333333334,-0.0229082040879457,44618931.666666664,False,,False,,Sensitivity reference pool.
684,9310,9310.T,Japan Transcity Corporation,Warehousing and Harbor Transportation Service,0.761885545401394,0.7497572029783102,0.6625454545454545,0.0571992110453648,0.8333333333333334,0.758957654723127,1.0,0.5466279444982253,0.0,0.0,0.0,0.0,1.3950954065241796,0.0939610054177511,0.0891877983425904,0.8333333333333334,-0.0522142591325434,95364996.66666669,False,,False,,Sensitivity reference pool.
685,7966,7966.T,LINTEC Corporation,Other Products,0.7618612516390589,0.3256717384266753,0.1581818181818181,0.4500328731097961,1.0,0.79185667752443,1.0,0.8825427557276541,0.0,0.0,0.0,0.0,0.6191862244102078,0.0364604550123804,0.2345104282009334,1.0,-0.0570290144233978,1259046683.3333333,False,,False,,Sensitivity reference pool.
686,5125,5125.T,Fines inc.,Information & Communication,0.7618181233731273,0.602460343153124,0.7781818181818182,0.9286653517422748,0.6666666666666666,0.4755700325732899,1.0,0.15650209745079058,0.0,0.0,0.0,0.0,1.0440449456208507,0.1114683371925069,0.782005978893083,0.6666666666666666,-0.0169065419699847,5834066.666666667,False,,False,,Sensitivity reference pool.
