code,fiscal_year,cash,retained_earnings,ppe,rd_expense,capex,depreciation,short_term_debt,long_term_debt,status,interest_bearing_debt
1433,2026,1434387000.0,2384000000.0,284198000.0,9726000.0,8772000.0,29427000.0,452644000.0,118056000.0,ok,570700000.0
1434,2023,2284393000.0,3462397000.0,6065264000.0,,95000000.0,158276000.0,1445642000.0,4177110000.0,ok,5622752000.0
1434,2024,2350632000.0,4269395000.0,3633876000.0,,91000000.0,204845000.0,1750325000.0,3755930000.0,ok,5506255000.0
1434,2025,3012672000.0,5138012000.0,2308684000.0,,442000000.0,254531000.0,1710840000.0,3802718000.0,ok,5513558000.0
1435,2023,4718875000.0,1395244000.0,1031187000.0,20400000.0,378329000.0,118744000.0,475952000.0,218730000.0,ok,694682000.0
1435,2024,6501814000.0,2128305000.0,1584477000.0,68131000.0,736360000.0,180331000.0,562716000.0,758659000.0,ok,1321375000.0
1435,2025,7505020000.0,3938065000.0,2267434000.0,49844000.0,827263000.0,164200000.0,797252000.0,525309000.0,ok,1322561000.0
1436,2023,1943275000.0,2995880000.0,1186714000.0,,34979000.0,71949000.0,1897300000.0,1841585000.0,ok,3738885000.0
1436,2024,1503212000.0,3277405000.0,1009944000.0,,112025000.0,54659000.0,983463000.0,3575884000.0,ok,4559347000.0
1436,2025,911167000.0,3498807000.0,1027693000.0,,149743000.0,51559000.0,1949390000.0,3688335000.0,ok,5637725000.0
1438,2023,1826070000.0,2741407000.0,1392658000.0,,21834000.0,55426000.0,213332000.0,5290000.0,ok,218622000.0
1438,2024,2385018000.0,3001421000.0,1422530000.0,,81132000.0,43088000.0,215020000.0,11652000.0,ok,226672000.0
1438,2025,2618800000.0,3278956000.0,1394388000.0,,33505000.0,38114000.0,226664000.0,25272000.0,ok,251936000.0
1443,2023,2087421000.0,7087776000.0,5494109000.0,15000000.0,1122009000.0,169986000.0,553055000.0,3566434000.0,ok,4119489000.0
1443,2024,1832467000.0,7515762000.0,6227586000.0,10000000.0,849740000.0,157802000.0,606968000.0,3208025000.0,ok,3814993000.0
1443,2025,1364173000.0,7991477000.0,6135170000.0,9000000.0,32747000.0,166005000.0,537493000.0,2766632000.0,ok,3304125000.0
1444,2023,1154640000.0,883210000.0,185925000.0,,25672000.0,17792000.0,424708000.0,87890000.0,ok,512598000.0
1444,2024,1335646000.0,908365000.0,181478000.0,,11169000.0,18579000.0,643740000.0,130618000.0,ok,774358000.0
1444,2025,1878851000.0,1111051000.0,262129000.0,,29264000.0,20805000.0,769605000.0,292934000.0,ok,1062539000.0
1446,2023,1616235000.0,637069000.0,60852000.0,,45502000.0,61246000.0,1009996000.0,727517000.0,ok,1737513000.0
1446,2024,1616316000.0,710503000.0,54586000.0,,29177000.0,61694000.0,1129184000.0,370000000.0,ok,1499184000.0
1446,2025,1626858000.0,869970000.0,77721000.0,,52794000.0,67354000.0,970000000.0,250000000.0,ok,1220000000.0
1447,2023,3293359000.0,-2109529000.0,2497448000.0,77742000.0,1090747000.0,568544000.0,5323177000.0,2866160000.0,ok,8189337000.0
1447,2024,4794906000.0,-1881601000.0,2425562000.0,37745000.0,448999000.0,528351000.0,7287869000.0,2305286000.0,ok,9593155000.0
