code,fiscal_year,cash,retained_earnings,ppe,rd_expense,capex,depreciation,short_term_debt,long_term_debt,status,interest_bearing_debt
5901,2025,110007000000.0,516800000000.0,350406000000.0,15173000000.0,36527000000.0,55660000000.0,75872000000.0,150420000000.0,ok,226292000000.0
5902,2025,13272000000.0,29703000000.0,59290000000.0,597000000.0,10961000000.0,6178000000.0,11110000000.0,30482000000.0,ok,41592000000.0
5903,2025,1970044000.0,5773062000.0,4461920000.0,86346000.0,1708000000.0,133210000.0,91424000.0,410720000.0,ok,502144000.0
5905,2025,1896368000.0,2243942000.0,4031182000.0,969000.0,437063000.0,408562000.0,1138993000.0,1972773000.0,ok,3111766000.0
5906,2025,2515173000.0,9126233000.0,5072153000.0,739000000.0,282000000.0,498862000.0,2190974000.0,1490284000.0,ok,3681258000.0
5909,2025,13234000000.0,59503000000.0,16881000000.0,644000000.0,2088000000.0,1601000000.0,,,ok,
5911,2025,16832000000.0,111095000000.0,39205000000.0,731000000.0,5775000000.0,4307000000.0,14400000000.0,17000000000.0,ok,31400000000.0
5915,2025,10317000000.0,13920000000.0,17411000000.0,837000000.0,,1038000000.0,5994000000.0,12060000000.0,ok,18054000000.0
5918,2025,6780000000.0,34905000000.0,16783000000.0,12000000.0,1801000000.0,817000000.0,3000000000.0,1665000000.0,ok,4665000000.0
5921,2025,3166478000.0,27278132000.0,6583389000.0,2154000.0,541000000.0,531140000.0,,,ok,
5922,2025,7423599000.0,23189180000.0,16769106000.0,233649000.0,784000000.0,1459521000.0,696000000.0,2799000000.0,ok,3495000000.0
5923,2025,2288699000.0,9676633000.0,7866110000.0,40316000.0,636451000.0,315195000.0,3400000000.0,3000000000.0,ok,6400000000.0
5928,2025,1880895000.0,3149806000.0,2145504000.0,102226000.0,137000000.0,133154000.0,,,ok,
5929,2025,103114000000.0,204938000000.0,98454000000.0,6411000000.0,15656000000.0,14383000000.0,10854000000.0,34252000000.0,ok,45106000000.0
5930,2025,39693000000.0,78919000000.0,41532000000.0,2527000000.0,6232000000.0,5338000000.0,2081000000.0,12440000000.0,ok,14521000000.0
5932,2025,20221000000.0,22706000000.0,113760000000.0,2548000000.0,12167000000.0,8271000000.0,27521000000.0,59697000000.0,ok,87218000000.0
5933,2025,6783797000.0,19786769000.0,21375249000.0,839924000.0,2808000000.0,2284623000.0,10202758000.0,15744662000.0,ok,25947420000.0
5936,2025,3799282000.0,7243809000.0,5617328000.0,237144000.0,588237000.0,409985000.0,1193000000.0,2136800000.0,ok,3329800000.0
5938,2025,50623000000.0,50209000000.0,230425000000.0,17915000000.0,41677000000.0,15916000000.0,149945000000.0,346300000000.0,ok,496245000000.0
5939,2025,1910888000.0,3148125000.0,1472422000.0,88971000.0,347000000.0,126746000.0,98000000.0,375000000.0,ok,473000000.0
5940,2025,12091000000.0,17422000000.0,27438000000.0,1222000000.0,2424000000.0,2202000000.0,16815000000.0,9516000000.0,ok,26331000000.0
5941,2025,2996532000.0,17624782000.0,9706897000.0,350000000.0,-1939934000.0,545879000.0,1800000000.0,,ok,1800000000.0
5942,2025,5113885000.0,15151860000.0,14038780000.0,433106000.0,2460000000.0,1904429000.0,8174209000.0,3425760000.0,ok,11599969000.0
5943,2025,22850000000.0,60940000000.0,41047000000.0,4401000000.0,7109000000.0,7777000000.0,5982000000.0,291000000.0,ok,6273000000.0
5945,2025,8795601000.0,30427167000.0,9489053000.0,123251000.0,399689000.0,908474000.0,,,ok,
5946,2025,3379000000.0,121528000000.0,23122000000.0,1107000000.0,1855000000.0,1569000000.0,,,ok,
5947,2025,136300000000.0,352932000000.0,152293000000.0,14939000000.0,16300000000.0,15141000000.0,,,ok,
5949,2025,48450000000.0,89295000000.0,109120000000.0,6500000000.0,13100000000.0,23973000000.0,46770000000.0,15423000000.0,ok,62193000000.0
5950,2025,1383548000.0,547627000.0,920904000.0,18821000.0,95000000.0,142961000.0,1600248000.0,376190000.0,ok,1976438000.0
5951,2025,10086385000.0,20597968000.0,6663016000.0,769418000.0,435000000.0,646417000.0,,,ok,
5952,2025,697563000.0,835069000.0,1700056000.0,,68000000.0,145529000.0,1285797000.0,793082000.0,ok,2078879000.0
5955,2025,3435902000.0,3950739000.0,7917444000.0,57043000.0,391099000.0,444473000.0,1164871000.0,769993000.0,ok,1934864000.0
5956,2025,3618535000.0,11432261000.0,3096471000.0,21047000.0,729000000.0,621665000.0,1854170000.0,,ok,1854170000.0
5957,2025,9430124000.0,29441150000.0,15661376000.0,845000000.0,1748000000.0,1460304000.0,1714532000.0,962311000.0,ok,2676843000.0
5958,2025,9596000000.0,18309000000.0,6642000000.0,174000000.0,1126000000.0,454000000.0,665000000.0,,ok,665000000.0
5959,2025,8463000000.0,42382000000.0,22373000000.0,760000000.0,2501000000.0,1741000000.0,1124000000.0,5102000000.0,ok,6226000000.0
5962,2025,1082019000.0,2226773000.0,622786000.0,,322000000.0,86172000.0,745280000.0,320929000.0,ok,1066209000.0
5965,2025,7310617000.0,20097432000.0,12614084000.0,115397000.0,1770000000.0,909700000.0,1301480000.0,2432964000.0,ok,3734444000.0
5966,2025,2919153000.0,7736109000.0,4572833000.0,219639000.0,962000000.0,463176000.0,900000000.0,,ok,900000000.0
5967,2025,1913048000.0,9556164000.0,3126707000.0,63214000.0,261813000.0,159440000.0,359560000.0,1437378000.0,ok,1796938000.0
5969,2025,1961297000.0,3279500000.0,1948542000.0,145000000.0,156000000.0,225359000.0,2181740000.0,1333386000.0,ok,3515126000.0
5970,2025,31201000000.0,131508000000.0,165877000000.0,1802000000.0,34373000000.0,19456000000.0,27488000000.0,21935000000.0,ok,49423000000.0
5971,2025,5049525000.0,13918645000.0,2859476000.0,,220000000.0,366729000.0,,,ok,
5973,2025,1789091000.0,8294743000.0,7686350000.0,12000000.0,772000000.0,364543000.0,4051968000.0,665928000.0,ok,4717896000.0
5974,2025,277000000.0,2596000000.0,3766000000.0,14000000.0,274000000.0,348000000.0,913000000.0,480000000.0,ok,1393000000.0
5975,2025,53997000000.0,190288000000.0,164935000000.0,1486000000.0,34130000000.0,25175000000.0,8867000000.0,31520000000.0,ok,40387000000.0
5976,2025,17580000000.0,43850000000.0,26297000000.0,786000000.0,2716000000.0,2334000000.0,3147000000.0,4846000000.0,ok,7993000000.0
5981,2025,5962000000.0,21180000000.0,29840000000.0,1324000000.0,2194000000.0,1968000000.0,18426000000.0,5243000000.0,ok,23669000000.0
5982,2026,20549609000.0,52931332000.0,15644068000.0,431978000.0,801000000.0,954905000.0,,,ok,
5983,2025,4026437000.0,15268672000.0,8623279000.0,284999000.0,990274000.0,412041000.0,308460000.0,502765000.0,ok,811225000.0
5984,2025,8061031000.0,22703611000.0,16166900000.0,271091000.0,307000000.0,1812774000.0,199399000.0,2996700000.0,ok,3196099000.0
5985,2025,9195000000.0,13701000000.0,15008000000.0,1106000000.0,1865000000.0,2559000000.0,11354000000.0,3754000000.0,ok,15108000000.0
5986,2025,4799923000.0,8822524000.0,6643514000.0,166070000.0,786394000.0,747159000.0,4945921000.0,1167603000.0,ok,6113524000.0
5987,2025,2928701000.0,3578896000.0,3701181000.0,31765000.0,402000000.0,431562000.0,715420000.0,1085303000.0,ok,1800723000.0
5988,2025,30236000000.0,77441000000.0,33572000000.0,687000000.0,6225000000.0,4353000000.0,,,ok,
5989,2025,6844000000.0,15682000000.0,13730000000.0,1672000000.0,17055000000.0,23000000.0,20404000000.0,13527000000.0,ok,33931000000.0
5990,2025,1017971000.0,4404091000.0,7314252000.0,78145000.0,1901008000.0,262081000.0,160476000.0,924423000.0,ok,1084899000.0
5991,2025,81805000000.0,327545000000.0,185359000000.0,22740000000.0,40252000000.0,29324000000.0,59693000000.0,33015000000.0,ok,92708000000.0
5992,2025,21560277000.0,29962755000.0,39552801000.0,1336709000.0,9166000000.0,4434951000.0,690340000.0,23087360000.0,ok,23777700000.0
5994,2025,4119369000.0,7197881000.0,22928279000.0,486292000.0,2388381000.0,3224465000.0,12429176000.0,5118439000.0,ok,17547615000.0
5997,2025,3920581000.0,6139339000.0,5161565000.0,36105000.0,390000000.0,267783000.0,1950000000.0,,ok,1950000000.0
5998,2025,4111966000.0,4674197000.0,12778684000.0,220917000.0,626582000.0,1531344000.0,8874041000.0,4017240000.0,ok,12891281000.0
6005,2025,20794000000.0,157587000000.0,32531000000.0,3080000000.0,10426000000.0,2176000000.0,8282000000.0,106247000000.0,ok,114529000000.0
6013,2025,38073000000.0,89846000000.0,18763000000.0,1777000000.0,1329000000.0,1934000000.0,12086000000.0,,ok,12086000000.0
6016,2025,7411720000.0,9650058000.0,8546740000.0,1009173000.0,5252331000.0,651260000.0,922892000.0,3578192000.0,ok,4501084000.0
6018,2025,4669225000.0,9886569000.0,8529007000.0,187125000.0,669000000.0,434325000.0,,,ok,
6022,2025,610923000.0,5746092000.0,3563919000.0,221175000.0,807000000.0,439899000.0,469260000.0,679764000.0,ok,1149024000.0
6023,2025,21015000000.0,49298000000.0,25889000000.0,3461000000.0,6808000000.0,2984000000.0,4438000000.0,10485000000.0,ok,14923000000.0
6027,2025,4171122000.0,4356086000.0,150000000.0,,679778000.0,680491000.0,735004000.0,1752492000.0,ok,2487496000.0
6029,2025,1128639000.0,-51235000.0,146247000.0,,78183000.0,105409000.0,207895000.0,832947000.0,ok,1040842000.0
6030,2025,11402080000.0,3002828000.0,99707000.0,,109754000.0,,936068000.0,5116252000.0,ok,6052320000.0
6031,2025,1720618000.0,406141000.0,53478000.0,,35470000.0,27032000.0,309840000.0,1204439000.0,ok,1514279000.0
6033,2025,4049107000.0,5118430000.0,139989000.0,,164644000.0,73244000.0,659600000.0,,ok,659600000.0
6034,2025,729165000.0,3163288000.0,43732000.0,,77295000.0,64658000.0,30000000.0,10000000.0,ok,40000000.0
6035,2025,4153839000.0,4611893000.0,266587000.0,,280000000.0,333786000.0,200000000.0,,ok,200000000.0
6036,2025,4172742000.0,17755720000.0,10082293000.0,40882000.0,2066000000.0,557878000.0,506316000.0,943105000.0,ok,1449421000.0
6037,2025,1191415000.0,5989342000.0,64866000.0,,20807000.0,22749000.0,,,ok,
6038,2025,3596433000.0,2691597000.0,187271000.0,,-30361000.0,77405000.0,202656000.0,283640000.0,ok,486296000.0
6039,2025,1107603000.0,3179791000.0,6316808000.0,8881000.0,652469000.0,550315000.0,627165000.0,2847886000.0,ok,3475051000.0
6040,2025,3455814000.0,6248222000.0,7637379000.0,,2776601000.0,1023639000.0,703322000.0,2663438000.0,ok,3366760000.0
6042,2025,3692089000.0,10959801000.0,10456561000.0,29918000.0,714000000.0,843227000.0,4728376000.0,3440178000.0,ok,8168554000.0
6044,2025,1942107000.0,3158483000.0,687055000.0,,43869000.0,110477000.0,221870000.0,238674000.0,ok,460544000.0
6045,2025,6097636000.0,2681895000.0,48122000.0,,-7670000.0,16431000.0,3652132000.0,91992000.0,ok,3744124000.0
6046,2025,914254000.0,615792000.0,429000.0,3385000.0,-28467000.0,13226000.0,9988000.0,99209000.0,ok,109197000.0
6047,2025,3991000000.0,2919000000.0,13000000.0,17000000.0,3000000.0,3000000.0,41000000.0,225000000.0,ok,266000000.0
6049,2025,6336933000.0,6677787000.0,120280000.0,,,47824000.0,,,ok,
6050,2025,10986379000.0,8705795000.0,537770000.0,,51836000.0,91565000.0,,,ok,
6054,2025,3639547000.0,3859839000.0,232000.0,,-266000.0,2100000.0,,,ok,
6055,2025,14945000000.0,50698000000.0,15038000000.0,,2226000000.0,1150000000.0,,,ok,
6058,2026,22273000000.0,17085000000.0,1779000000.0,96000000.0,1084000000.0,859000000.0,3973000000.0,3620000000.0,ok,7593000000.0
6059,2025,10984263000.0,10456262000.0,8335906000.0,,1306854000.0,570174000.0,4754453000.0,7863835000.0,ok,12618288000.0
6061,2025,4348681000.0,13900364000.0,3485867000.0,,724230000.0,413498000.0,54432000.0,,ok,54432000.0
6062,2025,9149000000.0,15157000000.0,16492000000.0,,6833000000.0,982000000.0,6901000000.0,6175000000.0,ok,13076000000.0
6063,2025,2279415000.0,1151633000.0,65472000.0,,33432000.0,44842000.0,1080000000.0,,ok,1080000000.0
6069,2025,2376969000.0,3130586000.0,153969000.0,,19353000.0,36407000.0,1513828000.0,704878000.0,ok,2218706000.0
6070,2025,10724275000.0,14490479000.0,327835000.0,,81083000.0,226739000.0,289132000.0,400032000.0,ok,689164000.0
6071,2025,5069443000.0,11047313000.0,8212386000.0,,673495000.0,611416000.0,4277116000.0,4727622000.0,ok,9004738000.0
6072,2025,821680000.0,833096000.0,18015000.0,,7393000.0,31935000.0,45842000.0,,ok,45842000.0
6073,2025,7106131000.0,11678120000.0,4396944000.0,13475000.0,,153258000.0,126504000.0,230310000.0,ok,356814000.0
6074,2025,1062039000.0,2597530000.0,4921905000.0,,101000000.0,233584000.0,563554000.0,1911736000.0,ok,2475290000.0
6078,2025,4831033000.0,3347377000.0,8785557000.0,54545000.0,811369000.0,464921000.0,349200000.0,4664934000.0,ok,5014134000.0
