code,company_name,sector_33,fiscal_year,decision_anchor_date,market_equity_pti,moat_p,change_p,future_p,price_p,total_equal25,total_current_weights,future_return_252d
9107,"Kawasaki Kisen Kaisha,Ltd.",Marine Transportation,2023,2023-06-24,278091424596.537,68.44478012541563,35.59862610402355,19.479882237487733,98.84690873405299,55.592549300244976,50.10409154498485,1.5835463953191322
9110,"NS United Kaiun Kaisha,Ltd.",Marine Transportation,2023,2023-06-29,79535516625.0,61.05264946651084,75.02453385672227,19.479882237487733,87.70853778213936,60.81640083571505,56.072173642701046,0.5770085986228541
9115,"Meiji Shipping Group Co.,Ltd.",Marine Transportation,2023,2023-06-30,20189324100.0,46.44160385882311,75.02453385672227,19.479882237487733,96.0009813542689,59.23675032682551,52.93272649621415,0.2827642957496263
9119,"IINO KAIUN KAISHA,LTD.",Marine Transportation,2023,2023-06-29,89087052200.0,57.566860022132936,75.02453385672227,19.479882237487733,78.31207065750736,57.59583669346257,53.616966740692874,0.6336411801907824
9127,"TAMAI STEAMSHIP CO.,LTD",Marine Transportation,2023,2023-06-23,2868574400.0,74.92517278564544,75.02453385672227,19.479882237487733,90.33366045142296,64.9408123328196,60.62769903883396,0.1289206717110911
9142,Kyushu Railway Company,Land Transportation,2023,2023-06-24,489679880800.0,50.02917176264629,75.02453385672227,19.479882237487733,44.627085377821395,47.29016830866943,46.302912470893986,0.158651513659694
9143,"SG HOLDINGS CO.,LTD.",Land Transportation,2023,2023-06-27,1291941365000.0,73.0339648584978,75.02453385672227,19.479882237487733,44.602551521099116,53.035233118451735,53.2006703211411,-0.2841434778375252
9145,"BEING HOLDINGS CO.,LTD.",Land Transportation,2023,2024-03-30,4072387500.0,48.34346130663704,75.02453385672227,19.479882237487733,84.00392541707556,56.71295070448065,51.70372533997933,-0.1067696110468163
9147,"NIPPON EXPRESS HOLDINGS,INC.",Land Transportation,2023,2024-03-29,228336370039.3982,58.12536295973217,11.236506378802748,19.479882237487733,95.3631010794897,46.05121316387809,40.39516531579011,0.0354597856454361
9159,W TOKYO Inc.,Services,2023,2023-09-30,7388740000.0,75.64607405502665,75.02453385672227,49.656526005888125,21.884200196270854,55.55283352847697,59.62954351189562,-0.3614711033274956
9162,"Bleach,Inc.",Services,2023,2023-09-30,13072600000.0,69.81082632537188,75.02453385672227,49.656526005888125,41.31501472031403,58.95172522707408,60.79359137160567,-0.5874233128834356
9163,Nareru Group Inc.,Services,2023,2024-01-31,27132138600.0,89.17207623063037,11.236506378802748,49.656526005888125,56.673209028459276,51.684579410945126,52.95868861992513,-0.2291413722619766
9165,"Qualtec Co.,Ltd.",Services,2023,2023-09-28,4200000000.0,71.40389310594237,75.02453385672227,49.656526005888125,32.21295387634936,57.074476711225536,59.90620227918212,-0.2576598400147599
9171,"Kuribayashi Steamship Co.,Ltd.",Marine Transportation,2023,2023-06-30,9210366408.0,31.48175707069886,75.02453385672227,19.479882237487733,89.9901864573111,53.994089905554986,47.543153225233205,0.2499873095135523
9201,"Japan Airlines Co.,Ltd.",Air Transportation,2023,2023-06-27,1348510096200.0,11.00964796439663,11.236506378802748,19.479882237487733,22.522080471050046,16.06202926293429,15.334297725923502,-0.1468114020783156
9202,ANA HOLDINGS INC.,Air Transportation,2023,2023-06-29,1620238481323.0,36.65287514048324,75.02453385672227,19.479882237487733,33.36604514229637,41.130834094247405,40.60086744891632,-0.1162077300988155
9204,Skymark Airlines Inc.,Air Transportation,2023,2023-06-28,75773726400.0,29.416094210009813,75.02453385672227,19.479882237487733,33.66045142296369,39.39524043179588,38.47399411187438,-0.4016082555602368
9211,f-code Inc.,Services,2023,2024-03-30,13430585700.0,28.927370863735966,11.236506378802748,49.656526005888125,12.046123650637881,25.46663172476618,28.191214203183595,-0.3305850019630938
9215,"CaSy Co.,Ltd.",Services,2023,2024-03-01,1712260000.0,42.666519451022296,75.02453385672227,49.656526005888125,13.420019627085377,45.19189973517952,48.46605004531649,0.0519337016574585
9216,"Bewith,Inc.",Services,2023,2023-09-01,34371776800.0,63.65884768803746,35.59862610402355,49.656526005888125,21.44259077526987,42.589147643304756,46.11065725047404,-0.2596552655551144
9218,"Mental Health Technologies Co.,Ltd.",Services,2023,2024-03-30,9915261300.0,79.523020303964,35.59862610402355,49.656526005888125,16.216879293424928,45.24876292682515,50.08605231297526,-0.2232416406403015
9219,GiXo Ltd.,Services,2023,2023-09-30,8801710100.0,85.2457168596639,75.02453385672227,49.656526005888125,14.524043179587832,56.112704975465526,61.40541280078435,-0.3376099104183871
9221,FULUHASHI EPO CORPORATION,Services,2023,2023-06-30,4586742800.0,62.28608585047456,75.02453385672227,49.656526005888125,70.82924435721296,64.44909751757447,62.963303674671316,0.402689059412757
9227,"Microwave Chemical Co.,Ltd.",Services,2023,2023-06-30,30668727800.0,52.35539134223408,75.02453385672227,49.656526005888125,4.317958783120706,45.33860249699129,50.00740248608533,-0.4952428642964447
9229,"SUNWELS Co.,Ltd.",Services,2023,2023-06-29,34565017000.0,43.139209934005045,75.02453385672227,49.656526005888125,10.893032384690873,44.67832554532658,48.22880910385214,-0.3083296956918752
9233,"Asia Air Survey Co.,Ltd.",Air Transportation,2023,2023-12-15,17360075700.0,61.11858843690594,75.02453385672227,19.479882237487733,64.81844946025515,55.110363497842776,52.65844208553693,0.2060403189540378
9236,Japan M&A Solution Incorporated,Services,2023,2024-01-31,5043480000.0,90.49902242743778,75.02453385672227,49.656526005888125,10.549558390578998,56.43241017015679,62.385231752765186,-0.6579234972677596
9237,"Emimen Co.,Ltd.",Services,2023,2024-01-31,2346127625.0,75.67114790418604,35.59862610402355,49.656526005888125,19.210009813542687,45.0340774569101,49.379460171059534,-0.1727986771393137
9241,"Future Link Network Co.,Ltd.",Services,2023,2023-11-30,1151834000.0,27.12339091495928,35.59862610402355,49.656526005888125,6.280667320902846,29.664802586443454,32.875731700395534,-0.0151734104046242
9246,"ProjectHoldings,Inc.",Services,2023,2024-03-28,8711057950.0,65.98741973979159,35.59862610402355,49.656526005888125,30.56918547595682,45.452939331415024,48.17821807110332,-0.3167701863354037
9247,TRE HOLDINGS CORPORATION,Services,2023,2023-06-28,64860003516.0,45.46631401577831,75.02453385672227,49.656526005888125,55.421982335623156,56.392339053502965,55.60628282102397,0.0722906835879924
9248,"People, Dreams & Technologies Group Co.,Ltd.",Services,2023,2023-12-26,14934942000.0,45.991366567571276,75.02453385672227,49.656526005888125,62.021589793915595,58.17350405602431,56.753739705305726,-0.0972167414941168
9251,"AB&Company Co.,Ltd.",Services,2023,2024-01-27,14162063174.0,72.96200987815861,11.236506378802748,49.656526005888125,41.36408243375858,43.80478117415201,45.79929972497849,-0.0705910183398851
9252,"Last One Mile Co.,Ltd.",Services,2023,2023-11-29,11261602044.0,51.95885721708896,75.02453385672227,49.656526005888125,12.266928361138369,47.226711360209435,51.08078768524445,-0.3275614238899647
9259,"TAKAYOSHI Holdings,INC.",Services,2023,2023-12-28,4741895240.0,63.49422712908533,75.02453385672227,49.656526005888125,46.27085377821393,58.61153519247741,59.64198747140469,-0.3704571843819876
9262,"SILVER LIFE CO.,LTD.",Retail Trade,2023,2023-10-31,11243568800.0,61.36106337321229,75.02453385672227,19.479882237487733,32.18842001962709,47.01347487176234,47.83668015033464,-0.2823399130821492
9264,"Puequ CO.,LTD.",Wholesale Trade,2023,2023-11-30,5318721290.0,29.593246016573737,35.59862610402355,19.479882237487733,36.62904808635918,30.325200611111047,29.1159522151782,0.2654401358811349
9267,"Genky DrugStores Co.,Ltd.",Retail Trade,2023,2023-09-21,41907795840.0,40.53723338202467,75.02453385672227,19.479882237487733,62.07065750736015,49.27807674589871,46.071866776138314,0.2795841949635267
