code,company_name_ja,company_name,sector_33,market,price_used,market_cap,per,pbr,altman_z,rd_expense,moat_p,change_p,future_p,price_p,total,shares,cost,weight_pct
7575,日本ライフライン株式会社,"Japan Lifeline Co.,Ltd.",Wholesale Trade,Prime Market (Domestic),1515.0,106284034170.0,11.40753828163572,1.773943221450746,6.963674559669665,2851000000.0,85.07374631268436,87.05014749262537,91.5929203539823,64.83775811209439,82.1386430678466,100,151500.0,3.0300000000000002
4414,株式会社フレクト,"FLECT Co.,Ltd.",Information & Communication,Growth Market(Domestic),1052.0,5673487548.0,7.871240113931022,2.084072613385407,6.274473929295627,57749000.0,96.7551622418879,87.05014749262537,62.92035398230088,81.17994100294985,81.976401179941,200,210400.0,4.208
2924,イフジ産業株式会社,"Ifuji Sangyo Co.,Ltd.",Foods,Standard Market(Domestic),1964.0,16005857608.0,7.614584970504282,1.434088129020697,5.102929413940323,167000000.0,90.50147492625369,87.05014749262537,62.27138643067847,87.13864306784662,81.74041297935104,100,196400.0,3.9280000000000004
5947,リンナイ株式会社,RINNAI CORPORATION,Metal Products,Prime Market (Domestic),3609.0,498293229708.0,13.399301648596321,1.0792155161981989,4.389752601826075,14939000000.0,63.1858407079646,96.99115044247787,88.93805309734513,74.57227138643067,80.92182890855456,100,360900.0,7.217999999999999
6455,株式会社モリタホールディングス,MORITA HOLDINGS CORPORATION,Transportation Equipment,Prime Market (Domestic),2367.0,97223987691.0,10.163494427242316,0.9951074460195287,3.626637572478878,2380000000.0,51.1504424778761,96.99115044247787,83.15634218289085,90.50147492625369,80.44985250737463,100,236700.0,4.734
6282,オイレス工業株式会社,OILES CORPORATION,Machinery,Prime Market (Domestic),2960.0,85079152720.0,13.442748099225787,1.1071671531934828,5.514082622892018,2878000000.0,63.36283185840708,96.99115044247787,92.27138643067848,68.67256637168143,80.32448377581122,100,296000.0,5.92
7254,株式会社ユニバンス,UNIVANCE CORPORATION,Transportation Equipment,Standard Market(Domestic),822.0,17153797674.0,5.8098049401197605,0.6438302411239125,2.9213137291830398,302594000.0,67.9646017699115,87.05014749262537,66.72566371681415,99.41002949852508,80.28761061946902,300,246600.0,4.932
2209,井村屋グループ株式会社,"IMURAYA GROUP CO.,LTD.",Foods,Prime Market (Domestic),2363.0,30239485862.0,13.754961860262858,1.366862621416778,3.446497650527861,490000000.0,85.78171091445428,96.99115044247787,70.08849557522124,61.120943952802364,78.49557522123894,100,236300.0,4.726
7803,株式会社ブシロード,Bushiroad Inc.,Other Products,Growth Market(Domestic),418.0,56771157388.0,15.819901846713654,2.2508537622330933,3.7434671669675863,1497803000.0,83.1858407079646,96.99115044247787,85.81120943952803,47.61061946902655,78.39970501474926,700,292600.0,5.852
5013,株式会社ユシロ,Yushiro Inc.,Oil and Coal Products,Standard Market(Domestic),3070.0,39577273400.0,8.596280060816682,0.8800816855681566,3.429811701818352,450000000.0,56.99115044247788,96.99115044247787,64.92625368731564,92.27138643067848,77.79498525073747,100,307000.0,6.140000000000001
