doc_id,zip_path,ok,error
S100W5WD,/Users/satouryuuichi/Desktop/product/hobby/stock_league/data/raw/edinet/xbrl/S100W5WD.zip,True,
S100TUPC,/Users/satouryuuichi/Desktop/product/hobby/stock_league/data/raw/edinet/xbrl/S100TUPC.zip,True,
S100R8S4,/Users/satouryuuichi/Desktop/product/hobby/stock_league/data/raw/edinet/xbrl/S100R8S4.zip,True,
S100W0EF,/Users/satouryuuichi/Desktop/product/hobby/stock_league/data/raw/edinet/xbrl/S100W0EF.zip,True,
S100TUHH,/Users/satouryuuichi/Desktop/product/hobby/stock_league/data/raw/edinet/xbrl/S100TUHH.zip,True,
S100R6UJ,/Users/satouryuuichi/Desktop/product/hobby/stock_league/data/raw/edinet/xbrl/S100R6UJ.zip,True,
S100W2MR,/Users/satouryuuichi/Desktop/product/hobby/stock_league/data/raw/edinet/xbrl/S100W2MR.zip,True,
S100TUQG,/Users/satouryuuichi/Desktop/product/hobby/stock_league/data/raw/edinet/xbrl/S100TUQG.zip,True,
S100R32B,/Users/satouryuuichi/Desktop/product/hobby/stock_league/data/raw/edinet/xbrl/S100R32B.zip,True,
S100W2JG,/Users/satouryuuichi/Desktop/product/hobby/stock_league/data/raw/edinet/xbrl/S100W2JG.zip,True,
S100TRXG,/Users/satouryuuichi/Desktop/product/hobby/stock_league/data/raw/edinet/xbrl/S100TRXG.zip,True,
S100R6II,/Users/satouryuuichi/Desktop/product/hobby/stock_league/data/raw/edinet/xbrl/S100R6II.zip,True,
S100XT97,/Users/satouryuuichi/Desktop/product/hobby/stock_league/data/raw/edinet/xbrl/S100XT97.zip,True,
S100VH1V,/Users/satouryuuichi/Desktop/product/hobby/stock_league/data/raw/edinet/xbrl/S100VH1V.zip,True,
S100T4J1,/Users/satouryuuichi/Desktop/product/hobby/stock_league/data/raw/edinet/xbrl/S100T4J1.zip,True,
S100W14E,/Users/satouryuuichi/Desktop/product/hobby/stock_league/data/raw/edinet/xbrl/S100W14E.zip,True,
S100TN18,/Users/satouryuuichi/Desktop/product/hobby/stock_league/data/raw/edinet/xbrl/S100TN18.zip,True,
S100QY0V,/Users/satouryuuichi/Desktop/product/hobby/stock_league/data/raw/edinet/xbrl/S100QY0V.zip,True,
S100W6KN,/Users/satouryuuichi/Desktop/product/hobby/stock_league/data/raw/edinet/xbrl/S100W6KN.zip,True,
S100TRQW,/Users/satouryuuichi/Desktop/product/hobby/stock_league/data/raw/edinet/xbrl/S100TRQW.zip,True,
S100QXFG,/Users/satouryuuichi/Desktop/product/hobby/stock_league/data/raw/edinet/xbrl/S100QXFG.zip,True,
S100Y01F,/Users/satouryuuichi/Desktop/product/hobby/stock_league/data/raw/edinet/xbrl/S100Y01F.zip,True,
S100VNMG,/Users/satouryuuichi/Desktop/product/hobby/stock_league/data/raw/edinet/xbrl/S100VNMG.zip,True,
S100TBJE,/Users/satouryuuichi/Desktop/product/hobby/stock_league/data/raw/edinet/xbrl/S100TBJE.zip,True,
S100VXNT,/Users/satouryuuichi/Desktop/product/hobby/stock_league/data/raw/edinet/xbrl/S100VXNT.zip,True,
S100TMRF,/Users/satouryuuichi/Desktop/product/hobby/stock_league/data/raw/edinet/xbrl/S100TMRF.zip,True,
S100QZBE,/Users/satouryuuichi/Desktop/product/hobby/stock_league/data/raw/edinet/xbrl/S100QZBE.zip,True,
S100WRZI,/Users/satouryuuichi/Desktop/product/hobby/stock_league/data/raw/edinet/xbrl/S100WRZI.zip,True,
S100UGBY,/Users/satouryuuichi/Desktop/product/hobby/stock_league/data/raw/edinet/xbrl/S100UGBY.zip,True,
S100RXVJ,/Users/satouryuuichi/Desktop/product/hobby/stock_league/data/raw/edinet/xbrl/S100RXVJ.zip,True,
S100WEQY,/Users/satouryuuichi/Desktop/product/hobby/stock_league/data/raw/edinet/xbrl/S100WEQY.zip,True,
S100U4JY,/Users/satouryuuichi/Desktop/product/hobby/stock_league/data/raw/edinet/xbrl/S100U4JY.zip,True,
S100RH95,/Users/satouryuuichi/Desktop/product/hobby/stock_league/data/raw/edinet/xbrl/S100RH95.zip,True,
S100VZLG,/Users/satouryuuichi/Desktop/product/hobby/stock_league/data/raw/edinet/xbrl/S100VZLG.zip,True,
S100TLYX,/Users/satouryuuichi/Desktop/product/hobby/stock_league/data/raw/edinet/xbrl/S100TLYX.zip,True,
S100QZX3,/Users/satouryuuichi/Desktop/product/hobby/stock_league/data/raw/edinet/xbrl/S100QZX3.zip,True,
S100W35N,/Users/satouryuuichi/Desktop/product/hobby/stock_league/data/raw/edinet/xbrl/S100W35N.zip,True,
S100TVBW,/Users/satouryuuichi/Desktop/product/hobby/stock_league/data/raw/edinet/xbrl/S100TVBW.zip,True,
S100R8R6,/Users/satouryuuichi/Desktop/product/hobby/stock_league/data/raw/edinet/xbrl/S100R8R6.zip,True,
S100W24X,/Users/satouryuuichi/Desktop/product/hobby/stock_league/data/raw/edinet/xbrl/S100W24X.zip,True,
S100TRC7,/Users/satouryuuichi/Desktop/product/hobby/stock_league/data/raw/edinet/xbrl/S100TRC7.zip,True,
S100R2LS,/Users/satouryuuichi/Desktop/product/hobby/stock_league/data/raw/edinet/xbrl/S100R2LS.zip,True,
S100W7O4,/Users/satouryuuichi/Desktop/product/hobby/stock_league/data/raw/edinet/xbrl/S100W7O4.zip,True,
S100TY43,/Users/satouryuuichi/Desktop/product/hobby/stock_league/data/raw/edinet/xbrl/S100TY43.zip,True,
S100RHKW,/Users/satouryuuichi/Desktop/product/hobby/stock_league/data/raw/edinet/xbrl/S100RHKW.zip,True,
S100XC79,/Users/satouryuuichi/Desktop/product/hobby/stock_league/data/raw/edinet/xbrl/S100XC79.zip,True,
S100V0KT,/Users/satouryuuichi/Desktop/product/hobby/stock_league/data/raw/edinet/xbrl/S100V0KT.zip,True,
S100SJVK,/Users/satouryuuichi/Desktop/product/hobby/stock_league/data/raw/edinet/xbrl/S100SJVK.zip,True,
S100VZWH,/Users/satouryuuichi/Desktop/product/hobby/stock_league/data/raw/edinet/xbrl/S100VZWH.zip,True,
