code,negative_book_equity,net_loss_current_year,net_loss_prior_year,two_year_net_loss,operating_cf_negative_current_year,operating_cf_negative_prior_year,two_year_ocf_loss,operating_income_negative,current_liabilities_gt_current_assets,liabilities_to_assets_high,equity_ratio_low,going_concern_flag_if_available,distress_exclusion_flag,distress_review_flag,distress_reason
9532,False,False,False,False,False,False,False,False,,False,False,False,False,False,
4976,False,False,False,False,False,False,False,False,,False,False,False,False,False,
4658,False,False,False,False,False,False,False,False,,False,False,False,False,False,
7734,False,False,False,False,False,False,False,False,,False,False,False,False,False,
3103,False,True,True,True,False,False,False,False,,False,False,False,True,False,two_year_net_loss
6458,False,False,False,False,False,False,False,False,,False,False,False,False,False,
6229,False,False,False,False,False,False,False,False,,False,False,False,False,False,
5869,False,False,False,False,False,False,False,False,,False,False,False,False,False,
6357,False,False,False,False,False,False,False,False,,False,False,False,False,False,
6810,False,False,False,False,False,False,False,False,,False,False,False,False,False,
6037,False,False,False,False,False,False,False,False,,False,False,False,False,False,
6277,False,False,False,False,False,False,False,False,,False,False,False,False,False,
7781,False,False,False,False,False,False,False,False,,False,False,False,False,False,
6418,False,False,False,False,False,True,False,False,,False,False,False,False,False,
6336,False,False,False,False,False,False,False,False,,False,False,False,False,False,
3763,False,False,False,False,False,False,False,False,,False,False,False,False,False,
6381,False,False,False,False,False,False,False,False,,False,False,False,False,False,
9531,False,False,False,False,False,False,False,False,,False,False,False,False,False,
6875,False,False,False,False,True,False,False,False,,False,False,False,False,False,
4450,False,False,False,False,False,True,False,False,,False,False,False,False,False,
6430,False,False,False,False,False,False,False,False,,False,False,False,False,False,
3407,False,False,False,False,False,False,False,False,,False,False,False,False,False,
6013,False,False,False,False,True,True,True,False,,False,False,False,False,True,two_year_ocf_loss
6340,False,False,False,False,False,False,False,False,,False,False,False,False,False,
6932,False,False,False,False,False,False,False,False,,False,False,False,False,False,
6832,False,False,True,False,False,False,False,False,,False,False,False,False,False,
6118,False,False,False,False,False,False,False,False,,False,False,False,False,False,
9436,False,False,False,False,False,False,False,False,,False,False,False,False,False,
6412,False,False,False,False,False,False,False,False,,False,False,False,False,False,
6804,False,False,False,False,True,False,False,False,,False,False,False,False,False,
3444,False,False,True,False,True,True,True,True,,False,False,False,False,True,two_year_ocf_loss;operating_income_negative
7276,False,False,False,False,False,False,False,False,,False,False,False,False,False,
6420,False,False,False,False,False,False,False,False,,False,False,False,False,False,
6768,False,False,False,False,False,False,False,False,,False,False,False,False,False,
6459,False,False,False,False,False,False,False,False,,False,False,False,False,False,
4062,False,False,False,False,False,False,False,False,,False,False,False,False,False,
5945,False,False,False,False,False,False,False,False,,False,False,False,False,False,
6482,False,False,False,False,True,False,False,False,,False,False,False,False,False,
9449,False,False,False,False,False,False,False,False,,False,False,False,False,False,
6474,False,False,False,False,False,False,False,False,,False,False,False,False,False,
6016,False,False,False,False,False,False,False,False,,False,False,False,False,False,
