code,ticker,company_name,sector_33,total_assets,doc_id,gross_profit,revenue,cost_of_sales,gp_method,gp_tag,revenue_tag,cost_tag,gross_profitability,gross_profitability_available,gross_profitability_review_flag
2752,2752.T,FUJIO FOOD GROUP INC.,Retail Trade,24429000000.0,S100XV0N,20622000000.0,31932000000.0,11310000000.0,direct_gross_profit,GrossProfit,NetSales,CostOfSales,0.8441606287608989,True,False
4075,4075.T,"Brains Technology,Inc.",Information & Communication,2057331000.0,S100WX5A,752264000.0,1255876000.0,503611000.0,direct_gross_profit,GrossProfit,NetSales,CostOfSales,0.36565044710841377,True,False
3289,3289.T,Tokyu Fudosan Holdings Corporation,Real Estate,3259928000000.0,S100W5WX,245317000000.0,1150301000000.0,,direct_gross_profit,OperatingGrossProfit,OperatingRevenue1,,0.07525227551037937,True,False
7501,7501.T,TIEMCO LTD.,Wholesale Trade,5463645000.0,S100XMV5,1451352000.0,3219133000.0,1767780000.0,direct_gross_profit,GrossProfit,NetSales,CostOfSales,0.26563804932421486,True,False
7446,7446.T,"TOHOKU CHEMICAL Co.,LTD.",Wholesale Trade,18422827000.0,S100XAMG,3286053000.0,34442625000.0,31156571000.0,direct_gross_profit,GrossProfit,NetSales,CostOfSales,0.17836855331703436,True,False
9982,9982.T,"Takihyo Co.,Ltd.",Wholesale Trade,50877000000.0,S100Y62Z,13413000000.0,63970000000.0,50557000000.0,direct_gross_profit,GrossProfit,NetSales,CostOfSales,0.2636358275841736,True,False
6615,6615.T,"UMC Electronics Co.,Ltd.",Electric Appliances,73626000000.0,S100W9P7,7570000000.0,131938000000.0,124368000000.0,direct_gross_profit,GrossProfit,NetSales,CostOfSales,0.10281693966805204,True,False
4761,4761.T,SAKURA KCS Corporation,Information & Communication,25556000000.0,S100W0Q9,6253000000.0,22537000000.0,16283000000.0,direct_gross_profit,GrossProfit,NetSales,CostOfSales,0.24467835341994051,True,False
1807,1807.T,"WATANABE SATO CO.,LTD.",Construction,35432258000.0,S100W538,3538685000.0,40422787000.0,36884102000.0,direct_gross_profit,GrossProfit,NetSales,CostOfSales,0.09987184559335734,True,False
6561,6561.T,"HANATOUR JAPAN CO.,LTD.",Services,11220337000.0,S100XU2F,5717599000.0,7180131000.0,1462531000.0,direct_gross_profit,GrossProfit,NetSales,CostOfSales,0.5095746232934002,True,False
