original_code,normalized_code,ticker_yfinance,company_name,sector,market,source_file,mapping_status
4188,4188,4188.T,Mitsubishi Chemical Group Corporation,Chemicals,Prime Market (Domestic),data/processed/scores.csv,ok
6929,6929,6929.T,"NIPPON CERAMIC CO.,LTD.",Electric Appliances,Prime Market (Domestic),data/processed/scores.csv,ok
6785,6785,6785.T,"SUZUKI CO.,LTD.",Electric Appliances,Prime Market (Domestic),data/processed/scores.csv,ok
6824,6824,6824.T,"NEW COSMOS ELECTRIC CO.,LTD.",Electric Appliances,Standard Market(Domestic),data/processed/scores.csv,ok
6703,6703,6703.T,"Oki Electric Industry Company,Limited",Electric Appliances,Prime Market (Domestic),data/processed/scores.csv,ok
6168,6168,6168.T,ONE GROUP CORP.,Machinery,PRO Market,data/processed/scores.csv,ok
6248,6248,6248.T,"Yokota Manufacturing Co., Ltd.",Machinery,Standard Market(Domestic),data/processed/scores.csv,ok
3723,3723,3723.T,NIHON FALCOM CORPORATION,Information & Communication,Growth Market(Domestic),data/processed/scores.csv,ok
6814,6814,6814.T,"FURUNO ELECTRIC CO.,LTD.",Electric Appliances,Prime Market (Domestic),data/processed/scores.csv,ok
3105,3105,3105.T,Nisshinbo Holdings Inc.,Electric Appliances,Prime Market (Domestic),data/processed/scores.csv,ok
9880,9880,9880.T,INNOTECH CORPORATION,Electric Appliances,Prime Market (Domestic),data/processed/scores.csv,ok
6490,6490,6490.T,PILLAR Corporation,Machinery,Prime Market (Domestic),data/processed/scores.csv,ok
6894,6894,6894.T,"PULSTEC INDUSTRIAL CO.,LTD.",Electric Appliances,Standard Market(Domestic),data/processed/scores.csv,ok
6448,6448,6448.T,"BROTHER INDUSTRIES,LTD.",Electric Appliances,Prime Market (Domestic),data/processed/scores.csv,ok
6961,6961,6961.T,ENPLAS CORPORATION,Electric Appliances,Prime Market (Domestic),data/processed/scores.csv,ok
6960,6960,6960.T,"FUKUDA DENSHI CO.,LTD.",Electric Appliances,Standard Market(Domestic),data/processed/scores.csv,ok
6419,6419,6419.T,Mars Group Holdings Corporation,Machinery,Prime Market (Domestic),data/processed/scores.csv,ok
7747,7747,7747.T,"ASAHI INTECC CO.,LTD.",Precision Instruments,Prime Market (Domestic),data/processed/scores.csv,ok
5214,5214,5214.T,"Nippon Electric Glass Co.,Ltd.",Glass and Ceramics Products,Prime Market (Domestic),data/processed/scores.csv,ok
7749,7749,7749.T,"MEDIKIT CO.,LTD.",Precision Instruments,Standard Market(Domestic),data/processed/scores.csv,ok
6857,6857,6857.T,ADVANTEST CORPORATION,Electric Appliances,Prime Market (Domestic),data/processed/scores.csv,ok
6866,6866,6866.T,HIOKI E.E.CORPORATION,Electric Appliances,Prime Market (Domestic),data/processed/scores.csv,ok
6996,6996,6996.T,NICHICON CORPORATION,Electric Appliances,Prime Market (Domestic),data/processed/scores.csv,ok
6925,6925,6925.T,USHIO INC.,Electric Appliances,Prime Market (Domestic),data/processed/scores.csv,ok
1948,1948,1948.T,"The Kodensha,Co.,Ltd.",Construction,Standard Market(Domestic),data/processed/scores.csv,ok
5187,5187,5187.T,"CREATE MEDIC CO.,LTD.",Precision Instruments,Standard Market(Domestic),data/processed/scores.csv,ok
5706,5706,5706.T,"Mitsui Kinzoku Company,Limited",Nonferrous Metals,Prime Market (Domestic),data/processed/scores.csv,ok
6136,6136,6136.T,OSG Corporation,Machinery,Prime Market (Domestic),data/processed/scores.csv,ok
6855,6855,6855.T,JAPAN ELECTRONIC MATERIALS CORPORATION,Electric Appliances,Standard Market(Domestic),data/processed/scores.csv,ok
6779,6779,6779.T,"NIHON DEMPA KOGYO CO.,LTD.",Electric Appliances,Prime Market (Domestic),data/processed/scores.csv,ok
6643,6643,6643.T,"Togami Electric Mfg.Co.,Ltd.",Electric Appliances,Standard Market(Domestic),data/processed/scores.csv,ok
4099,4099,4099.T,SHIKOKU KASEI HOLDINGS CORPORATION,Chemicals,Prime Market (Domestic),data/processed/scores.csv,ok
6480,6480,6480.T,"NIPPON THOMPSON CO.,LTD.",Machinery,Prime Market (Domestic),data/processed/scores.csv,ok
6877,6877,6877.T,Obara Group Incorporated,Electric Appliances,Standard Market(Domestic),data/processed/scores.csv,ok
7725,7725,7725.T,INTER ACTION Corporation,Precision Instruments,Prime Market (Domestic),data/processed/scores.csv,ok
7711,7711,7711.T,"SUKEGAWA ELECTRIC CO.,LTD.",Precision Instruments,Standard Market(Domestic),data/processed/scores.csv,ok
7746,7746,7746.T,"OKAMOTO GLASS CO.,LTD.",Precision Instruments,Standard Market(Domestic),data/processed/scores.csv,ok
6809,6809,6809.T,TOA CORPORATION,Electric Appliances,Prime Market (Domestic),data/processed/scores.csv,ok
6454,6454,6454.T,"MAX CO.,LTD.",Machinery,Prime Market (Domestic),data/processed/scores.csv,ok
1605,1605,1605.T,INPEX CORPORATION,Mining,Prime Market (Domestic),data/processed/scores.csv,ok
6596,6596,6596.T,"TSUKUBASEIKO Co.,Ltd.",Electric Appliances,PRO Market,data/processed/scores.csv,ok
6622,6622,6622.T,DAIHEN CORPORATION,Electric Appliances,Prime Market (Domestic),data/processed/scores.csv,ok
7730,7730,7730.T,"MANI,INC.",Precision Instruments,Prime Market (Domestic),data/processed/scores.csv,ok
7716,7716,7716.T,NAKANISHI INC.,Precision Instruments,Standard Market(Domestic),data/processed/scores.csv,ok
6647,6647,6647.T,"MORIO DENKI CO.,LTD.",Electric Appliances,Standard Market(Domestic),data/processed/scores.csv,ok
6997,6997,6997.T,NIPPON CHEMI-CON CORPORATION,Electric Appliances,Prime Market (Domestic),data/processed/scores.csv,ok
7775,7775,7775.T,"DAIKEN MEDICAL CO.,LTD.",Precision Instruments,Standard Market(Domestic),data/processed/scores.csv,ok
7722,7722,7722.T,"KOKUSAI CO.,LTD.",Precision Instruments,Standard Market(Domestic),data/processed/scores.csv,ok
6822,6822,6822.T,"Oi Electric Co.,Ltd.",Electric Appliances,Standard Market(Domestic),data/processed/scores.csv,ok
5802,5802,5802.T,"Sumitomo Electric Industries,Ltd.",Nonferrous Metals,Prime Market (Domestic),data/processed/scores.csv,ok
6701,6701,6701.T,NEC Corporation,Electric Appliances,Prime Market (Domestic),data/processed/scores.csv,ok
6592,6592,6592.T,"MABUCHI MOTOR CO.,LTD.",Electric Appliances,Prime Market (Domestic),data/processed/scores.csv,ok
6870,6870,6870.T,"Fenwal Controls of Japan,Ltd.",Electric Appliances,Standard Market(Domestic),data/processed/scores.csv,ok
6508,6508,6508.T,MEIDENSHA CORPORATION,Electric Appliances,Prime Market (Domestic),data/processed/scores.csv,ok
6912,6912,6912.T,KIKUSUI HOLDINGS CORPORATION,Electric Appliances,Standard Market(Domestic),data/processed/scores.csv,ok
9435,9435,9435.T,"HIKARI TSUSHIN,INC.",Information & Communication,Prime Market (Domestic),data/processed/scores.csv,ok
6998,6998,6998.T,"Nippon Tungsten Co.,Ltd.",Electric Appliances,Standard Market(Domestic),data/processed/scores.csv,ok
6644,6644,6644.T,"Osaki Electric Co.,Ltd.",Electric Appliances,Prime Market (Domestic),data/processed/scores.csv,ok
5020,5020,5020.T,"ENEOS Holdings,Inc.",Oil and Coal Products,Prime Market (Domestic),data/processed/scores.csv,ok
6861,6861,6861.T,KEYENCE CORPORATION,Electric Appliances,Prime Market (Domestic),data/processed/scores.csv,ok
6928,6928,6928.T,"ENOMOTO Co.,Ltd.",Electric Appliances,Standard Market(Domestic),data/processed/scores.csv,ok
6134,6134,6134.T,FUJI CORPORATION,Machinery,Prime Market (Domestic),data/processed/scores.csv,ok
6346,6346,6346.T,"KIKUKAWA ENTERPRISE,INC.",Machinery,Standard Market(Domestic),data/processed/scores.csv,ok
7740,7740,7740.T,"Tamron Co.,Ltd.",Precision Instruments,Prime Market (Domestic),data/processed/scores.csv,ok
6498,6498,6498.T,KITZ CORPORATION,Machinery,Prime Market (Domestic),data/processed/scores.csv,ok
6674,6674,6674.T,GS Yuasa Corporation,Electric Appliances,Prime Market (Domestic),data/processed/scores.csv,ok
6417,6417,6417.T,"SANKYO CO.,LTD.",Machinery,Prime Market (Domestic),data/processed/scores.csv,ok
6797,6797,6797.T,"NAGOYA ELECTRIC WORKS CO.,LTD.",Electric Appliances,Standard Market(Domestic),data/processed/scores.csv,ok
6794,6794,6794.T,"Foster Electric Company,Limited",Electric Appliances,Prime Market (Domestic),data/processed/scores.csv,ok
4975,4975,4975.T,JCU CORPORATION,Chemicals,Prime Market (Domestic),data/processed/scores.csv,ok
6654,6654,6654.T,"FUJI ELECTRIC INDUSTRY CO.,LTD.",Electric Appliances,Standard Market(Domestic),data/processed/scores.csv,ok
7261,7261,7261.T,Mazda Motor Corporation,Transportation Equipment,Prime Market (Domestic),data/processed/scores.csv,ok
6853,6853,6853.T,"KYOWA ELECTRONIC INSTRUMENTS CO.,LTD.",Electric Appliances,Standard Market(Domestic),data/processed/scores.csv,ok
6787,6787,6787.T,"Meiko Electronics Co.,Ltd.",Electric Appliances,Prime Market (Domestic),data/processed/scores.csv,ok
6376,6376,6376.T,"NIKKISO CO.,LTD.",Precision Instruments,Prime Market (Domestic),data/processed/scores.csv,ok
6651,6651,6651.T,NITTO KOGYO CORPORATION,Electric Appliances,Prime Market (Domestic),data/processed/scores.csv,ok
6156,6156,6156.T,A-ONE SEIMITSU INC.,Machinery,Standard Market(Domestic),data/processed/scores.csv,ok
4022,4022,4022.T,"Rasa Industries,Ltd.",Chemicals,Prime Market (Domestic),data/processed/scores.csv,ok
4966,4966,4966.T,"C.Uyemura & Co.,Ltd.",Chemicals,Standard Market(Domestic),data/processed/scores.csv,ok
6505,6505,6505.T,"TOYO DENKI SEIZO K.K.(TOYO ELECTRIC MFG.CO.,LTD.)",Electric Appliances,Standard Market(Domestic),data/processed/scores.csv,ok
6744,6744,6744.T,NOHMI BOSAI LTD.,Electric Appliances,Prime Market (Domestic),data/processed/scores.csv,ok
6282,6282,6282.T,OILES CORPORATION,Machinery,Prime Market (Domestic),data/processed/scores.csv,ok
6503,6503,6503.T,Mitsubishi Electric Corporation,Electric Appliances,Prime Market (Domestic),data/processed/scores.csv,ok
6306,6306,6306.T,"NIKKO CO.,LTD.",Machinery,Prime Market (Domestic),data/processed/scores.csv,ok
6706,6706,6706.T,"DKK Co.,Ltd.",Electric Appliances,Prime Market (Domestic),data/processed/scores.csv,ok
6365,6365,6365.T,DMW CORPORATION,Machinery,Standard Market(Domestic),data/processed/scores.csv,ok
6850,6850,6850.T,Chino Corporation,Electric Appliances,Prime Market (Domestic),data/processed/scores.csv,ok
6676,6676,6676.T,BUFFALO INC.,Electric Appliances,Standard Market(Domestic),data/processed/scores.csv,ok
6969,6969,6969.T,"MATSUO ELECTRIC CO.,LTD.",Electric Appliances,Standard Market(Domestic),data/processed/scores.csv,ok
6743,6743,6743.T,"Daido Signal Co.,Ltd.",Electric Appliances,Standard Market(Domestic),data/processed/scores.csv,ok
6806,6806,6806.T,"HIROSE ELECTRIC CO.,LTD.",Electric Appliances,Prime Market (Domestic),data/processed/scores.csv,ok
6143,6143,6143.T,"Sodick Co.,Ltd.",Machinery,Prime Market (Domestic),data/processed/scores.csv,ok
6384,6384,6384.T,"SHOWA SHINKU CO.,LTD.",Machinery,Standard Market(Domestic),data/processed/scores.csv,ok
6265,6265,6265.T,CONVUM Ltd.,Machinery,Standard Market(Domestic),data/processed/scores.csv,ok
6848,6848,6848.T,DKK-TOA CORPORATION,Electric Appliances,Standard Market(Domestic),data/processed/scores.csv,ok
6403,6403,6403.T,"SUIDO KIKO KAISHA,LTD.",Machinery,Standard Market(Domestic),data/processed/scores.csv,ok
6678,6678,6678.T,"Techno Medica Co.,Ltd.",Electric Appliances,Standard Market(Domestic),data/processed/scores.csv,ok
4732,4732,4732.T,"USS Co.,Ltd.",Services,Prime Market (Domestic),data/processed/scores.csv,ok
6823,6823,6823.T,"RION CO.,LTD.",Electric Appliances,Prime Market (Domestic),data/processed/scores.csv,ok
6675,6675,6675.T,"SAXA,Inc.",Electric Appliances,Standard Market(Domestic),data/processed/scores.csv,ok
6863,6863,6863.T,NIRECO CORPORATION,Electric Appliances,Standard Market(Domestic),data/processed/scores.csv,ok
6752,6752,6752.T,Panasonic Holdings Corporation,Electric Appliances,Prime Market (Domestic),data/processed/scores.csv,ok
6859,6859,6859.T,ESPEC CORP.,Electric Appliances,Prime Market (Domestic),data/processed/scores.csv,ok
4186,4186,4186.T,"TOKYO OHKA KOGYO CO.,LTD.",Chemicals,Prime Market (Domestic),data/processed/scores.csv,ok
6161,6161,6161.T,ESTIC CORPORATION,Machinery,Standard Market(Domestic),data/processed/scores.csv,ok
6670,6670,6670.T,"MCJ Co.,Ltd.",Electric Appliances,Standard Market(Domestic),data/processed/scores.csv,ok
6144,6144,6144.T,"Seibu Electric & Machinery Co.,Ltd.",Machinery,Standard Market(Domestic),data/processed/scores.csv,ok
7713,7713,7713.T,"SIGMA KOKI CO.,LTD.",Precision Instruments,Standard Market(Domestic),data/processed/scores.csv,ok
6858,6858,6858.T,"ONO SOKKI Co.,Ltd.",Electric Appliances,Standard Market(Domestic),data/processed/scores.csv,ok
6963,6963,6963.T,ROHM COMPANY LIMITED,Electric Appliances,Prime Market (Domestic),data/processed/scores.csv,ok
4972,4972,4972.T,"Soken Chemical & Engineering Co.,Ltd.",Chemicals,Standard Market(Domestic),data/processed/scores.csv,ok
6396,6396,6396.T,"Unozawa-gumi Iron Works,Limited",Machinery,Standard Market(Domestic),data/processed/scores.csv,ok
6890,6890,6890.T,Ferrotec Corporation,Electric Appliances,Standard Market(Domestic),data/processed/scores.csv,ok
6392,6392,6392.T,YAMADA CORPORATION,Machinery,Standard Market(Domestic),data/processed/scores.csv,ok
6301,6301,6301.T,KOMATSU LTD.,Machinery,Prime Market (Domestic),data/processed/scores.csv,ok
5101,5101,5101.T,"The Yokohama Rubber Company,Limited",Rubber Products,Prime Market (Domestic),data/processed/scores.csv,ok
7013,7013,7013.T,IHI Corporation,Machinery,Prime Market (Domestic),data/processed/scores.csv,ok
6668,6668,6668.T,"ADTEC PLASMA TECHNOLOGY CO.,LTD.",Electric Appliances,Standard Market(Domestic),data/processed/scores.csv,ok
6402,6402,6402.T,"KANEMATSU ENGINEERING CO.,LTD.",Machinery,Standard Market(Domestic),data/processed/scores.csv,ok
4800,4800,4800.T,Oricon Inc.,Information & Communication,Standard Market(Domestic),data/processed/scores.csv,ok
6653,6653,6653.T,"SEIKO ELECTRIC CO.,LTD.",Electric Appliances,Prime Market (Domestic),data/processed/scores.csv,ok
6488,6488,6488.T,Yoshitake Inc.,Machinery,Standard Market(Domestic),data/processed/scores.csv,ok
6235,6235,6235.T,"OPTORUN CO.,LTD.",Machinery,Prime Market (Domestic),data/processed/scores.csv,ok
6380,6380,6380.T,"ORIENTAL CHAIN MFG. CO.,LTD.",Machinery,Standard Market(Domestic),data/processed/scores.csv,ok
7721,7721,7721.T,TOKYO KEIKI INC.,Precision Instruments,Prime Market (Domestic),data/processed/scores.csv,ok
6742,6742,6742.T,"Kyosan Electric Manufacturing Co.,Ltd.",Electric Appliances,Prime Market (Domestic),data/processed/scores.csv,ok
6302,6302,6302.T,"SUMITOMO HEAVY INDUSTRIES,LTD.",Machinery,Prime Market (Domestic),data/processed/scores.csv,ok
8725,8725,8725.T,"MS&AD Insurance Group Holdings,Inc.",Insurance,Prime Market (Domestic),data/processed/scores.csv,ok
6140,6140,6140.T,"Asahi Diamond Industrial Co.,Ltd.",Machinery,Prime Market (Domestic),data/processed/scores.csv,ok
6267,6267,6267.T,"GENERAL PACKER CO.,LTD.",Machinery,Standard Market(Domestic),data/processed/scores.csv,ok
6485,6485,6485.T,"MAEZAWA KYUSO INDUSTRIES CO.,LTD.",Machinery,Standard Market(Domestic),data/processed/scores.csv,ok
6209,6209,6209.T,NPR-RIKEN CORPORATION,Machinery,Prime Market (Domestic),data/processed/scores.csv,ok
6507,6507,6507.T,"SINFONIA TECHNOLOGY CO.,LTD.",Electric Appliances,Prime Market (Domestic),data/processed/scores.csv,ok
5105,5105,5105.T,Toyo Tire Corporation,Rubber Products,Prime Market (Domestic),data/processed/scores.csv,ok
5406,5406,5406.T,"Kobe Steel,Ltd.",Iron and Steel,Prime Market (Domestic),data/processed/scores.csv,ok
6284,6284,6284.T,"NISSEI ASB MACHINE CO.,LTD.",Machinery,Prime Market (Domestic),data/processed/scores.csv,ok
4461,4461,4461.T,DKS Co.Ltd.,Chemicals,Prime Market (Domestic),data/processed/scores.csv,ok
6250,6250,6250.T,YAMABIKO CORPORATION,Machinery,Prime Market (Domestic),data/processed/scores.csv,ok
6517,6517,6517.T,"Denyo Co.,Ltd.",Electric Appliances,Prime Market (Domestic),data/processed/scores.csv,ok
6332,6332,6332.T,"TSUKISHIMA HOLDINGS CO.,LTD.",Machinery,Prime Market (Domestic),data/processed/scores.csv,ok
6999,6999,6999.T,KOA CORPORATION,Electric Appliances,Prime Market (Domestic),data/processed/scores.csv,ok
6788,6788,6788.T,"NIHON TRIM CO.,LTD.",Electric Appliances,Prime Market (Domestic),data/processed/scores.csv,ok
8086,8086,8086.T,NIPRO CORPORATION,Precision Instruments,Prime Market (Domestic),data/processed/scores.csv,ok
6247,6247,6247.T,"HISAKA WORKS,LTD.",Machinery,Prime Market (Domestic),data/processed/scores.csv,ok
7203,7203,7203.T,TOYOTA MOTOR CORPORATION,Transportation Equipment,Prime Market (Domestic),data/processed/scores.csv,ok
6845,6845,6845.T,Azbil Corporation,Electric Appliances,Prime Market (Domestic),data/processed/scores.csv,ok
6748,6748,6748.T,"SEIWA ELECTRIC MFG. CO.,LTD.",Electric Appliances,Standard Market(Domestic),data/processed/scores.csv,ok
6516,6516,6516.T,"SANYO DENKI CO.,LTD.",Electric Appliances,Prime Market (Domestic),data/processed/scores.csv,ok
6923,6923,6923.T,"Stanley Electric Co.,Ltd.",Electric Appliances,Prime Market (Domestic),data/processed/scores.csv,ok
6331,6331,6331.T,"Mitsubishi Kakoki Kaisha,Ltd.",Machinery,Prime Market (Domestic),data/processed/scores.csv,ok
6457,6457,6457.T,GLORY LTD.,Machinery,Prime Market (Domestic),data/processed/scores.csv,ok
6964,6964,6964.T,"SANKO CO.,LTD.",Electric Appliances,Standard Market(Domestic),data/processed/scores.csv,ok
6763,6763,6763.T,"Teikoku Tsushin Kogyo Co.,Ltd.",Electric Appliances,Prime Market (Domestic),data/processed/scores.csv,ok
6326,6326,6326.T,KUBOTA CORPORATION,Machinery,Prime Market (Domestic),data/processed/scores.csv,ok
2461,2461,2461.T,"FAN Communications,Inc.",Services,Prime Market (Domestic),data/processed/scores.csv,ok
3853,3853,3853.T,ASTERIA Corporation,Information & Communication,Prime Market (Domestic),data/processed/scores.csv,ok
6770,6770,6770.T,"ALPS ALPINE CO.,LTD.",Electric Appliances,Prime Market (Domestic),data/processed/scores.csv,ok
6838,6838,6838.T,"TAMAGAWA HOLDINGS CO.,LTD.",Electric Appliances,Standard Market(Domestic),data/processed/scores.csv,ok
6466,6466,6466.T,"TVE Co.,Ltd.",Machinery,Standard Market(Domestic),data/processed/scores.csv,ok
6159,6159,6159.T,"MICRON MACHINERY CO.,LTD.",Machinery,Standard Market(Domestic),data/processed/scores.csv,ok
6371,6371,6371.T,TSUBAKIMOTO CHAIN CO.,Machinery,Prime Market (Domestic),data/processed/scores.csv,ok
7760,7760,7760.T,IMV CORPORATION,Precision Instruments,Standard Market(Domestic),data/processed/scores.csv,ok
4287,4287,4287.T,JUST PLANNING INC.,Information & Communication,Standard Market(Domestic),data/processed/scores.csv,ok
5983,5983,5983.T,IWABUCHI CORPORATION,Metal Products,Standard Market(Domestic),data/processed/scores.csv,ok
5714,5714,5714.T,"DOWA HOLDINGS CO.,LTD.",Nonferrous Metals,Prime Market (Domestic),data/processed/scores.csv,ok
6518,6518,6518.T,"SANSO ELECTRIC CO.,LTD.",Electric Appliances,Standard Market(Domestic),data/processed/scores.csv,ok
6369,6369,6369.T,TOYO KANETSU K.K.,Machinery,Prime Market (Domestic),data/processed/scores.csv,ok
6989,6989,6989.T,"HOKURIKU ELECTRIC INDUSTRY CO.,LTD.",Electric Appliances,Standard Market(Domestic),data/processed/scores.csv,ok
6633,6633,6633.T,CGS HOLDINGS INC.,Electric Appliances,Standard Market(Domestic),data/processed/scores.csv,ok
6484,6484,6484.T,KVK CORPORATION,Machinery,Standard Market(Domestic),data/processed/scores.csv,ok
7991,7991,7991.T,"MAMIYA-OP CO.,LTD",Machinery,Standard Market(Domestic),data/processed/scores.csv,ok
6762,6762,6762.T,TDK Corporation,Electric Appliances,Prime Market (Domestic),data/processed/scores.csv,ok
6286,6286,6286.T,SEIKO CORPORATION,Machinery,Standard Market(Domestic),data/processed/scores.csv,ok
6345,6345,6345.T,AICHI CORPORATION,Machinery,Prime Market (Domestic),data/processed/scores.csv,ok
6750,6750,6750.T,"ELECOM CO.,LTD.",Electric Appliances,Prime Market (Domestic),data/processed/scores.csv,ok
6436,6436,6436.T,Amano Corporation,Machinery,Prime Market (Domestic),data/processed/scores.csv,ok
4441,4441,4441.T,Tobila Systems Inc.,Information & Communication,Standard Market(Domestic),data/processed/scores.csv,ok
2433,2433,2433.T,HAKUHODO DY HOLDINGS INCORPORATED,Services,Prime Market (Domestic),data/processed/scores.csv,ok
6820,6820,6820.T,ICOM INCORPORATED,Electric Appliances,Prime Market (Domestic),data/processed/scores.csv,ok
6915,6915,6915.T,"CHIYODA INTEGRE CO.,LTD.",Electric Appliances,Standard Market(Domestic),data/processed/scores.csv,ok
6291,6291,6291.T,"AIRTECH JAPAN,LTD.",Machinery,Standard Market(Domestic),data/processed/scores.csv,ok
9104,9104,9104.T,"Mitsui O.S.K.Lines,Ltd.",Marine Transportation,Prime Market (Domestic),data/processed/scores.csv,ok
