code,company_name,sector,bm_raw,ep_raw,market_equity_final,anomaly_flags
9250,GRCS Inc.,Services,,,1443740760.0,book_equity_market_equity_scale_check
3370,"FUJITA CORPORATION Co.,Ltd.",Retail Trade,,0.0653029052162136,1713476600.0,book_equity_market_equity_scale_check
4073,"Global Communication Planning Co.,Ltd.",Information & Communication,,,1228910880.0,book_equity_market_equity_scale_check
7992,"The Sailor Pen Co.,Ltd.",Other Products,,,3142195524.0,book_equity_market_equity_scale_check
7074,Twenty-four seven Holdings Inc.,Services,,,1408692600.0,book_equity_market_equity_scale_check
4381,"BPLATS,Inc.",Information & Communication,,,749737264.0,book_equity_market_equity_scale_check
1783,"Fantasista Co.,Ltd.",Real Estate,,,9522388456.0,book_equity_market_equity_scale_check
4777,GALA INCORPORATED,Information & Communication,,,6081403300.0,book_equity_market_equity_scale_check
4490,VisasQ Inc.,Information & Communication,,0.1484811357417382,6006830400.0,book_equity_market_equity_scale_check
7946,KOYOSHA INC.,Other Products,9.00418673523175,0.414966622807547,198818400.0,extreme_high_bm_top1pct
4813,"ACCESS CO.,LTD.",Information & Communication,,,18855912600.0,book_equity_market_equity_scale_check
5341,"ASAHI EITO HOLDINGS CO.,LTD.",Glass and Ceramics Products,,,1528221552.0,book_equity_market_equity_scale_check
3753,FLIGHT SOLUTIONS Inc.,Information & Communication,,,2127745500.0,book_equity_market_equity_scale_check
8107,KIMURATAN CORPORATION,Textiles and Apparels,,,8440591830.0,book_equity_market_equity_scale_check
3681,"V-cube,Inc.",Information & Communication,,,621060000.0,book_equity_market_equity_scale_check
5597,"Blue innovation Co.,Ltd.",Information & Communication,,,7253929599.0,book_equity_market_equity_scale_check
4584,Kidswell Bio Corporation,Pharmaceutical,,0.078592061419813,7096569169.0,book_equity_market_equity_scale_check
3628,"DATA HORIZON CO.,LTD.",Information & Communication,,,7728989520.0,book_equity_market_equity_scale_check
4881,FunPep Company Limited,Pharmaceutical,,,2373168600.0,book_equity_market_equity_scale_check
6085,ARCHITECTS STUDIO JAPAN INC.,Services,,,41460226914.0,book_equity_market_equity_scale_check
3409,"KITABO CO.,LTD",Textiles and Apparels,,,2688854812.0,book_equity_market_equity_scale_check
1711,"SDS HOLDINGS Co.,Ltd.",Construction,,,2322816771.0,book_equity_market_equity_scale_check
4179,G-NEXT Inc.,Information & Communication,,,1730356804.0,book_equity_market_equity_scale_check
4563,"AnGes,Inc.",Pharmaceutical,,,18990064800.0,book_equity_market_equity_scale_check
4893,Noile-Immune Biotech Inc.,Pharmaceutical,,,5845724775.0,book_equity_market_equity_scale_check
9327,"e-LogiT co.,ltd.",Warehousing and Harbor Transportation Service,,0.0722435640493068,1712443200.0,book_equity_market_equity_scale_check
6173,Aqualine Ltd.,Services,,,90260677.0,book_equity_market_equity_scale_check
3823,"THE WHY HOW DO COMPANY,Inc.",Information & Communication,,,4731144948.0,book_equity_market_equity_scale_check
8894,"REVOLUTION CO.,LTD.",Real Estate,5.962257372324668,,3032865888.0,extreme_high_bm_top1pct
4598,"Delta-Fly Pharma,Inc.",Pharmaceutical,,,1584110500.0,book_equity_market_equity_scale_check
3133,"kaihan co.,Ltd.",Retail Trade,,,8474367450.0,book_equity_market_equity_scale_check
9610,WILSON LEARNING WORLDWIDE INC.,Services,,,904336740.0,book_equity_market_equity_scale_check
