code,ticker,company_name,company_name_ja,market,sector_33,sector_17,scale_category,is_financial,revenue,operating_income,ordinary_income,net_income,total_assets,equity,operating_cf,investing_cf,financing_cf,rd_expense,capex,employees,revenue_growth,operating_income_growth,operating_margin,roe,equity_ratio,ocf_margin,rd_ratio,capex_ratio,market_cap,enterprise_value,trailing_pe,forward_pe,price_to_book,dividend_yield,beta,shares_outstanding,ebitda
1434,1434.T,"JESCO Holdings,Inc.",ＪＥＳＣＯホールディングス株式会社,Standard Market(Domestic),Construction,CONSTRUCTION & MATERIALS,,False,19272723000.0,1822781000.0,1692870000.0,1076152000.0,17647633000.0,7561332000.0,896261000.0,,-210728000.0,,,642.0,0.2806858427032348,0.5052010255042001,0.09457828040178858,0.14232307217828816,0.42846153928971664,0.04650411880044143,,,,,,,,,,,
1435,1435.T,robot home Inc.,株式会社ｒｏｂｏｔ　ｈｏｍｅ,Standard Market(Domestic),Real Estate,REAL ESTATE,TOPIX Small 2,False,24098163000.0,3761570000.0,1787139000.0,1991823000.0,15925254000.0,11167035000.0,1849156000.0,,-181750000.0,,,244.0,0.6708671210840156,0.39472241146810405,0.15609364083063096,0.1783663255286654,0.7012155033759587,0.07673431373171474,,,,,,,,,,,
1436,1436.T,GreenEnergy & Company Inc.,株式会社グリーンエナジー＆カンパニー,Growth Market(Domestic),Construction,CONSTRUCTION & MATERIALS,,False,11616630000.0,543537000.0,408098000.0,275507000.0,13557474000.0,5302794000.0,-961122000.0,,1032649000.0,,,160.0,0.14543614571934738,0.011972560478644034,0.04678955945054633,0.05195506368906656,0.39113436618060266,-0.08273673173717334,,,,,,,,,,,
1438,1438.T,"Gifu landscape architect Co.,Ltd.",株式会社岐阜造園,Standard Market(Domestic),Construction,CONSTRUCTION & MATERIALS,,False,6271357000.0,538282000.0,549108000.0,384527000.0,5776333000.0,4144481000.0,317228000.0,,-80150000.0,,,151.0,0.11970109433043152,0.17468646134944388,0.08583182236316637,0.0927804953141298,0.7174934339831169,0.05058362966739097,,,,,,,,,,,
1443,1443.T,"Giken Holdings Co.,Ltd.",技研ホールディングス株式会社,Standard Market(Domestic),Construction,CONSTRUCTION & MATERIALS,,False,4906441000.0,905574000.0,770182000.0,491949000.0,16164939000.0,10916029000.0,358360000.0,,-532526000.0,,,105.0,-0.05378048306999306,0.113783654082519,0.18456840712035466,0.04506666297790158,0.6752904542355527,0.07303868527105492,,,,,,,,,,,
1444,1444.T,"Nissou Co.,Ltd.",株式会社ニッソウ,Growth Market(Domestic),Construction,CONSTRUCTION & MATERIALS,,False,5286940000.0,86116000.0,85871000.0,208265000.0,3457320000.0,1768105000.0,-59576000.0,,32681000.0,,,104.0,0.12646025320004073,-0.31647296952579196,0.016288439059266798,0.11778995025747906,0.5114091261439496,-0.011268522056236688,,,,,,,,,,,
1445,1445.T,"Hikari Holdings Co.,Ltd.",,PRO Market,Construction,CONSTRUCTION & MATERIALS,,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1446,1446.T,"CANDEAL Co.,Ltd.",株式会社キャンディル,Standard Market(Domestic),Construction,CONSTRUCTION & MATERIALS,,False,13860556000.0,420645000.0,417480000.0,196374000.0,6282008000.0,2972385000.0,418644000.0,,-315636000.0,,,591.0,0.061129290546672044,-0.0356973335111167,0.030348349662163626,0.0660661388077251,0.47315842323027923,0.030203983159117136,,,,,,,,,,,
1447,1447.T,"SAAF Holdings Co.,Ltd.",ＳＡＡＦホールディングス株式会社,Growth Market(Domestic),Construction,CONSTRUCTION & MATERIALS,,False,29335155000.0,989844000.0,673853000.0,714900000.0,16998056000.0,2843379000.0,305192000.0,,-405012000.0,,,2328.0,-0.026220015501024707,-0.16898257453557652,0.03374258632688322,0.2514262080433175,0.16727671681985282,0.010403626638413876,,,,,,,,,,,
1450,1450.T,TANAKEN Inc.,ＴＡＮＡＫＥＮ株式会社,Standard Market(Domestic),Construction,CONSTRUCTION & MATERIALS,,False,12286088000.0,2328352000.0,2341718000.0,1576283000.0,11383251000.0,8223073000.0,2141625000.0,,-348442000.0,,,102.0,0.0452174955849296,0.2213342960342004,0.18951125858776202,0.19169025983351967,0.7223835264635735,0.17431301159490312,,,,,,,,,,,
1452,1452.T,"YOKOHAMA WRIGHT Industries Co.,LTD",,PRO Market,Construction,CONSTRUCTION & MATERIALS,,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1491,1491.T,"Chugai Mining Co.,Ltd.",中外鉱業株式会社,Standard Market(Domestic),Nonferrous Metals,STEEL & NONFERROUS METALS,,False,162366809000.0,1933247000.0,1238300000.0,1218720000.0,16525875000.0,8183664000.0,840310000.0,,564235000.0,,,150.0,0.38341795084556485,0.2244201647173658,0.011906663756630211,0.14892107007325814,0.49520306791622226,0.005175380394400681,,,,,,,,,,,
1514,1514.T,"Sumiseki Holdings,Inc.",住石ホールディングス株式会社,Standard Market(Domestic),Mining,ENERGY RESOURCES,TOPIX Small 2,False,10264000000.0,-214000000.0,7967000000.0,8036000000.0,29047000000.0,28024000000.0,26000000.0,,-3174000000.0,,,39.0,-0.4927641120167011,1.0856770833333331,-0.020849571317225254,0.2867542106765629,0.9647812166488794,0.002533125487139517,,,,,,,,,,,
1515,1515.T,"Nittetsu Mining Co.,Ltd.",日鉄鉱業株式会社,Prime Market (Domestic),Mining,ENERGY RESOURCES,TOPIX Small 1,False,199326000000.0,12423000000.0,11437000000.0,9592000000.0,240179000000.0,151971000000.0,17713000000.0,,-6477000000.0,,,2199.0,0.09793656720129107,-0.12142013886771508,0.06232503536919418,0.06311730527534859,0.63274058098335,0.08886447327493653,,,,,,,,,,,
1518,1518.T,"MITSUI MATSUSHIMA HOLDINGS CO.,LTD.",三井松島ホールディングス株式会社,Prime Market (Domestic),Other Products,"IT & SERVICES, OTHERS",TOPIX Small 1,False,60636000000.0,8095000000.0,8448000000.0,8711000000.0,136027000000.0,65481000000.0,4574000000.0,,-10206000000.0,,,1741.0,-0.13012497638022846,-0.5371716209065064,0.1335015502341843,0.13303095554435637,0.481382372617201,0.07543373573454713,,,,,,,,,,,
1605,1605.T,INPEX CORPORATION,株式会社ＩＮＰＥＸ,Prime Market (Domestic),Mining,ENERGY RESOURCES,TOPIX Mid400,False,187115000000.0,96499000000.0,88145000000.0,92998000000.0,2876488000000.0,1853714000000.0,,,,,,3720.0,-0.16009555375421913,1.1303911510774776,0.5157202789728242,0.050168472590701695,0.6444365490139364,,,,3970040332288.0,5549035356160.0,10.336168,12.727273,0.8118793,3.0,-0.149,1162189867.0,1367925456896.0
1662,1662.T,"Japan Petroleum Exploration Co.,Ltd.",石油資源開発株式会社,Prime Market (Domestic),Mining,ENERGY RESOURCES,TOPIX Small 1,False,389104000000.0,75834000000.0,64221000000.0,82848000000.0,681598000000.0,557257000000.0,130766000000.0,,-38671000000.0,,,1653.0,0.07533919571444159,0.020744399674593295,0.1948939101114355,0.14867107995054346,0.8175742886569503,0.33606953410913276,,,448766967808.0,432063578112.0,8.396399,11.62621,0.7150951,2.52,0.175,255999402.0,85965996032.0
1663,1663.T,K&O Energy Group Inc.,Ｋ＆Ｏエナジーグループ株式会社,Prime Market (Domestic),Mining,ENERGY RESOURCES,TOPIX Small 1,False,92272000000.0,14524000000.0,11699000000.0,9237000000.0,127773000000.0,108888000000.0,15911000000.0,,-1623000000.0,,,691.0,-0.024021350462918867,0.05138545297543762,0.15740419628923183,0.08483028432885166,0.852198821347233,0.17243584185885208,,,,,,,,,,,
1711,1711.T,"SDS HOLDINGS Co.,Ltd.",株式会社ＳＤＳホールディングス,Standard Market(Domestic),Construction,CONSTRUCTION & MATERIALS,,False,4035492000.0,-211509000.0,-196629000.0,-190316000.0,4811790000.0,-4085076000.0,-214276000.0,,1004688000.0,,,22.0,0.08230546231509428,,-0.0524121965797479,0.04658811733245599,-0.8489722120042645,-0.05309786266457721,,,,,,,,,,,
1716,1716.T,DAI-ICHI CUTTER KOGYO K.K.,第一カッター興業株式会社,Standard Market(Domestic),Construction,CONSTRUCTION & MATERIALS,TOPIX Small 2,False,20228578000.0,2819928000.0,1791866000.0,1338223000.0,22247636000.0,19358154000.0,1699024000.0,,-515668000.0,,,656.0,-0.04466707355950594,-0.1261290734580367,0.13940317505264088,0.06912968044370346,0.8701218412598983,0.08399127214972797,,,,,,,,,,,
1717,1717.T,Meiho Facility Works Ltd.,明豊ファシリティワークス株式会社,Standard Market(Domestic),Services,"IT & SERVICES, OTHERS",,False,5716853000.0,1226694000.0,1230189000.0,910529000.0,8027863000.0,5597405000.0,-213002000.0,,-453092000.0,,,200.0,0.09568538570421747,0.1312520404320685,0.2145750467958508,0.16266984432964918,0.6972472001577505,-0.03725861063770575,,,,,,,,,,,
1718,1718.T,"MIKIKOGYO CO.,LTD.",美樹工業株式会社,Standard Market(Domestic),Construction,CONSTRUCTION & MATERIALS,,False,36488590000.0,2583279000.0,2560538000.0,1739617000.0,38882459000.0,19532122000.0,-2119305000.0,,3062253000.0,,,590.0,0.05905860947336494,0.4009322226486767,0.07079689842770027,0.08906441399454704,0.502337622216743,-0.058081307060645536,,,,,,,,,,,
1719,1719.T,HAZAMA ANDO CORPORATION,株式会社安藤・間,Prime Market (Domestic),Construction,CONSTRUCTION & MATERIALS,TOPIX Mid400,False,482348000000.0,43818000000.0,34053000000.0,26444000000.0,371974000000.0,172183000000.0,11176000000.0,,-5751000000.0,,,3753.0,0.04913211073942869,0.2933529980158618,0.09084312571006825,0.1535807832364403,0.4628898794001731,0.02316999344871338,,,,,,,,,,,
1720,1720.T,"TOKYU CONSTRUCTION CO., LTD.",東急建設株式会社,Prime Market (Domestic),Construction,CONSTRUCTION & MATERIALS,TOPIX Small 1,False,293463000000.0,17845000000.0,9701000000.0,6836000000.0,274315000000.0,102667000000.0,41203000000.0,,-31878000000.0,,,2845.0,0.007908123472170958,0.2402537897451995,0.06080834721924058,0.06658419940195,0.37426681005413487,0.1404027083482415,,,,,,,,,,,
1721,1721.T,COMSYS Holdings Corporation,コムシスホールディングス株式会社,Prime Market (Domestic),Construction,CONSTRUCTION & MATERIALS,TOPIX Mid400,False,650148000000.0,58831000000.0,46650000000.0,30953000000.0,759273000000.0,380983000000.0,16625000000.0,,-20217000000.0,,,17626.0,0.04101134769607273,0.14607379907924045,0.09048862720488259,0.08124509492549536,0.5017734069300502,0.02557110073398672,,,,,,,,,,,
1723,1723.T,"NIHON DENGI CO.,LTD.",日本電技株式会社,Standard Market(Domestic),Construction,CONSTRUCTION & MATERIALS,,False,43061000000.0,13969000000.0,9307000000.0,6414000000.0,52886000000.0,39542000000.0,8135000000.0,,-1640000000.0,,,939.0,0.12032584493712872,0.37347300269388883,0.32440026938529065,0.16220727327904508,0.7476836970086601,0.1889180464921855,,,,,,,,,,,
1724,1724.T,SYNCLAYER INC.,シンクレイヤ株式会社,Standard Market(Domestic),Construction,CONSTRUCTION & MATERIALS,,False,10488000000.0,351000000.0,377000000.0,242000000.0,9820000000.0,6208000000.0,1538000000.0,,-1352000000.0,,,259.0,0.0021522372267446244,-0.1982162742627268,0.03346681922196797,0.0389819587628866,0.6321792260692465,0.14664378337147216,,,,,,,,,,,
1726,1726.T,Br.Holdings Corporation,株式会社ビーアールホールディングス,Prime Market (Domestic),Construction,CONSTRUCTION & MATERIALS,TOPIX Small 2,False,41065000000.0,3651000000.0,1880000000.0,1268000000.0,41933000000.0,15067000000.0,48000000.0,,1264000000.0,,,637.0,0.05890976942785331,0.08506319688982167,0.08890782905150371,0.08415743014535076,0.35931128228364295,0.0011688786070863265,,,,,,,,,,,
1736,1736.T,OTEC CORPORATION,株式会社　オーテック,Standard Market(Domestic),Construction,CONSTRUCTION & MATERIALS,,False,31428860000.0,4854597000.0,4222005000.0,2927187000.0,34671003000.0,22902212000.0,3542153000.0,,-576986000.0,,,530.0,0.09606444413027315,0.4112157382338144,0.15446303174852669,0.12781241392752804,0.6605581038425684,0.11270383335571192,,,,,,,,,,,
1758,1758.T,"Taiyo Kisokogyo Co.,Ltd.",太洋基礎工業株式会社,Standard Market(Domestic),Construction,CONSTRUCTION & MATERIALS,,False,14511488000.0,551290000.0,616139000.0,462977000.0,12444764000.0,9497840000.0,898168000.0,,-89802000.0,,,221.0,-0.0020664176808380397,,0.03798990151802489,0.048745504240964264,0.7631996878365873,0.06189358389711655,,,,,,,,,,,
