ticker,latest_date,close,adj_close,volume,avg_trading_value_60d,history_days
4631.T,2026-06-01,4938.0,4938.0,961100.0,2285513820.0,1222
4633.T,2026-06-01,2323.0,2323.0,224700.0,551415293.3333334,1222
4634.T,2026-06-01,4195.0,4195.0,168100.0,489590258.3333333,1222
4635.T,2026-06-01,1225.0,1225.0,30700.0,56492010.0,1222
4641.T,2026-06-01,2305.0,2305.0,79900.0,99617276.66666667,1222
4642.T,2026-06-01,1433.0,1433.0,13600.0,6149008.333333333,1222
4644.T,2026-06-01,1017.0,1017.0,10000.0,12377028.333333334,1222
4645.T,2026-06-01,422.0,422.0,100.0,467281.6666666667,1222
4650.T,2026-06-01,267.0,267.0,2800.0,1985996.6666666667,1222
4651.T,2026-06-01,240.0,240.0,501200.0,307577845.0,1222
4657.T,2026-06-01,468.0,468.0,21500.0,23624466.666666668,1222
4658.T,2026-06-01,1584.0,1584.0,146000.0,167926066.66666666,1222
4659.T,2026-06-01,4425.0,4425.0,600.0,55524675.0,1222
4661.T,2026-06-01,2248.0,2248.0,5551100.0,14070255415.833334,1222
4662.T,2026-06-01,1559.0,1559.0,48400.0,89678351.66666667,1222
4664.T,2026-06-01,908.0,908.0,83000.0,126559708.33333333,1222
4665.T,2026-06-01,4114.0,4114.0,180800.0,528490856.6666667,1222
4666.T,2026-06-01,1833.0,1833.0,779900.0,2098592236.6666667,1222
4667.T,2026-06-01,1631.0,1631.0,24700.0,33443516.666666668,1222
4668.T,2026-06-01,679.0,679.0,54900.0,34207918.333333336,1222
4671.T,2026-06-01,2516.0,2516.0,14300.0,38752770.0,1222
4673.T,2026-06-01,4665.0,4665.0,3000.0,75247000.0,1222
4674.T,2026-06-01,1532.0,1532.0,98500.0,161593313.33333334,1222
4676.T,2026-06-01,3774.0,3774.0,480700.0,3210287756.6666665,1222
4678.T,2026-06-01,302.0,302.0,3200.0,3522653.3333333335,1222
4679.T,2026-06-01,251.0,251.0,21300.0,8559276.666666666,1222
4680.T,2026-06-01,899.0,899.0,2077100.0,2192292031.963196,1222
4681.T,2026-06-01,1659.0,1659.0,556500.0,1176155907.5,1222
4684.T,2026-06-01,4161.0,4161.0,1809300.0,7176962053.333333,1222
4685.T,2026-06-01,2916.0,2916.0,37500.0,124852345.0,1222
4686.T,2026-06-01,4210.0,4210.0,180100.0,514459058.3333333,1222
4687.T,2026-06-01,950.0,950.0,95500.0,107281473.33333333,1222
4689.T,2026-06-01,423.5,423.5,16524100.0,7974070224.101054,1222
4691.T,2026-06-01,1697.0,1697.0,127400.0,261103788.33333334,1222
4694.T,2026-06-01,3560.0,3560.0,106000.0,333172666.6666667,1222
4704.T,2026-06-01,6353.0,6353.0,1290600.0,6947150856.666667,1222
4705.T,2026-06-01,851.0,851.0,16600.0,2225956.6666666665,1222
4707.T,2026-06-01,328.0,328.0,36500.0,2365571.6666666665,1222
4709.T,2026-06-01,1034.0,1034.0,61900.0,86656013.33333333,1222
4712.T,2026-06-01,801.0,801.0,12300.0,12134938.333333334,1222
4714.T,2026-06-01,189.0,189.0,621000.0,102936366.66666667,1222
4716.T,2026-06-01,9132.0,9132.0,643700.0,4243755291.6666665,1222
4718.T,2026-06-01,2566.0,2566.0,57500.0,77219583.33333333,1222
4719.T,2026-06-01,3225.0,3225.0,7300.0,35926075.0,1222
4720.T,2026-06-01,235.0,235.0,3500.0,4799941.666666667,1222
4722.T,2026-06-01,1599.0,1599.0,200500.0,406306626.6666667,1222
4725.T,2026-06-01,1775.0,1775.0,56600.0,103891828.33333333,1222
4728.T,2026-06-01,643.0,643.0,8600.0,4880650.0,1222
4732.T,2026-06-01,1766.0,1766.0,1035900.0,2247686507.5,1222
4733.T,2026-06-01,6379.0,6379.0,269500.0,2034922696.6666667,1222
4735.T,2026-06-01,321.0,321.0,6100.0,5265171.666666667,1222
4736.T,2026-06-01,583.0,583.0,45600.0,8955436.666666666,1222
4743.T,2026-06-01,1637.0,1637.0,59700.0,129480861.66666667,1222
4746.T,2026-06-01,4280.0,4280.0,51600.0,194215625.0,1222
4750.T,2026-06-01,569.0,569.0,6200.0,7762866.666666667,1222
4751.T,2026-06-01,1354.0,1354.0,4330200.0,5048035577.5,1222
4752.T,2026-06-01,1499.0,1499.0,1000.0,2046721.6666666667,1222
4754.T,2026-05-29,1508.0,1508.0,0.0,1881920.0,1221
4755.T,2026-06-01,764.4000244140625,764.4000244140625,17596200.0,11418310520.85917,1222
4760.T,2026-06-01,1628.0,1628.0,800.0,2977890.0,1222
4761.T,2026-06-01,1380.0,1380.0,2900.0,12046433.333333334,1222
4762.T,2026-06-01,1550.0,1550.0,1700.0,2187435.0,1222
4763.T,2026-06-01,1254.0,1254.0,75500.0,72374811.66666667,1222
4765.T,2026-06-01,591.0,591.0,473700.0,178385016.66666666,1222
4766.T,2026-06-01,191.0,191.0,31400.0,2948061.6666666665,1222
4767.T,2026-06-01,350.0,350.0,255900.0,38237533.333333336,1222
4768.T,2026-06-01,3063.0,3063.0,2679000.0,4944641539.166667,1222
4769.T,2026-05-29,1052.0,1052.0,800.0,1404023.3333333333,1221
4771.T,2026-06-01,2507.0,2507.0,12800.0,50845480.0,1222
4772.T,2026-06-01,77.0,77.0,1337200.0,56882265.0,1222
