code,ticker,company_name,sector_33,is_financial_like,liquidity_passed,missing_financial_data,low_equity_ratio,repeated_operating_loss,repeated_negative_operating_cf,excessive_leverage,extreme_valuation_outlier,extreme_profitability_outlier,other_data_quality_issue,investment_eligible,exclusion_reasons
2975,2975.T,スター・マイカ・ホールディングス株式会社,Real Estate,False,True,False,False,False,True,False,False,False,False,False,repeated_negative_operating_cf
2981,2981.T,株式会社ランディックス,Real Estate,False,True,False,False,False,True,False,False,False,False,False,repeated_negative_operating_cf
2982,2982.T,株式会社ＡＤワークスグループ,Real Estate,False,True,False,False,False,True,False,False,False,False,False,repeated_negative_operating_cf
2986,2986.T,株式会社ＬＡホールディングス,Real Estate,False,True,False,False,False,True,False,False,False,False,False,repeated_negative_operating_cf
2998,2998.T,クリアル株式会社,Real Estate,False,True,False,True,False,False,True,False,False,False,False,low_equity_ratio;excessive_leverage
3070,3070.T,株式会社ジェリービーンズグループ,Wholesale Trade,False,True,False,False,True,True,False,False,False,False,False,repeated_operating_loss;repeated_negative_operating_cf
3083,3083.T,スターシーズ株式会社,Retail Trade,False,True,False,False,False,True,False,False,False,False,False,repeated_negative_operating_cf
3086,3086.T,Ｊ．フロント　リテイリング株式会社,Retail Trade,False,True,True,False,False,False,False,False,False,False,False,missing_financial_data
3103,3103.T,ユニチカ株式会社,Textiles and Apparels,False,True,False,False,False,False,True,False,True,False,False,excessive_leverage;extreme_profitability_outlier
3113,3113.T,株式会社ＵＮＩＶＡ・Ｏａｋホールディングス,Securities and Commodities Futures,True,True,False,False,True,False,False,False,False,False,False,repeated_operating_loss
3116,3116.T,トヨタ紡織株式会社,Transportation Equipment,False,True,True,False,False,False,False,False,False,False,False,missing_financial_data
3133,3133.T,株式会社海帆,Retail Trade,False,True,False,True,True,True,True,False,False,False,False,low_equity_ratio;repeated_operating_loss;repeated_negative_operating_cf;excessive_leverage
3137,3137.T,株式会社ファンデリー,Retail Trade,False,True,False,True,True,False,True,False,True,False,False,low_equity_ratio;repeated_operating_loss;excessive_leverage;extreme_profitability_outlier
3151,3151.T,株式会社バイタルケーエスケー・ホールディングス,Wholesale Trade,False,True,False,False,False,True,False,False,False,False,False,repeated_negative_operating_cf
3185,3185.T,夢展望株式会社,Retail Trade,False,True,True,True,True,False,True,False,False,False,False,missing_financial_data;low_equity_ratio;repeated_operating_loss;excessive_leverage
3189,3189.T,株式会社ＡＮＡＰホールディングス,Retail Trade,False,True,False,False,True,True,False,False,True,False,False,repeated_operating_loss;repeated_negative_operating_cf;extreme_profitability_outlier
3192,3192.T,株式会社白鳩,Retail Trade,False,True,False,False,True,True,False,False,False,False,False,repeated_operating_loss;repeated_negative_operating_cf
3197,3197.T,株式会社すかいらーくホールディングス,Retail Trade,False,True,True,False,False,False,False,False,False,False,False,missing_financial_data
3199,3199.T,綿半ホールディングス株式会社,Retail Trade,False,True,False,False,False,True,False,False,False,False,False,repeated_negative_operating_cf
3205,3205.T,株式会社ダイドーリミテッド,Textiles and Apparels,False,True,False,False,True,False,False,False,False,False,False,repeated_operating_loss
3231,3231.T,野村不動産ホールディングス株式会社,Real Estate,False,True,False,False,False,True,False,False,False,False,False,repeated_negative_operating_cf
3237,3237.T,株式会社イントランス,Real Estate,False,True,False,True,True,True,True,False,False,False,False,low_equity_ratio;repeated_operating_loss;repeated_negative_operating_cf;excessive_leverage
3242,3242.T,株式会社アーバネットコーポレーション,Real Estate,False,True,False,False,False,True,False,False,False,False,False,repeated_negative_operating_cf
