effective_date,code,ticker,company_name,market,sector_33_code,sector_33,sector_17_code,sector_17,scale_category_code,scale_category,is_financial
20260430,1419,1419.T,"Tama Home Co.,Ltd.",Prime Market (Domestic),2050,Construction,3,CONSTRUCTION & MATERIALS,6,TOPIX Small 1,False
20260430,1420,1420.T,Sanyo Homes Corporation,Standard Market(Domestic),2050,Construction,3,CONSTRUCTION & MATERIALS,-,,False
20260430,1429,1429.T,"Nippon Aqua Co.,Ltd.",Prime Market (Domestic),2050,Construction,3,CONSTRUCTION & MATERIALS,-,,False
20260430,1430,1430.T,First-corporation Inc.,Standard Market(Domestic),2050,Construction,3,CONSTRUCTION & MATERIALS,-,,False
20260430,1431,1431.T,"Lib Work Co.,Ltd.",Growth Market(Domestic),2050,Construction,3,CONSTRUCTION & MATERIALS,-,,False
20260430,1432,1432.T,"DORYOKU Co.,Ltd.",PRO Market,2050,Construction,3,CONSTRUCTION & MATERIALS,-,,False
20260430,1433,1433.T,"BESTERRA CO.,LTD",Prime Market (Domestic),2050,Construction,3,CONSTRUCTION & MATERIALS,-,,False
20260430,1434,1434.T,"JESCO Holdings,Inc.",Standard Market(Domestic),2050,Construction,3,CONSTRUCTION & MATERIALS,-,,False
20260430,1435,1435.T,robot home Inc.,Standard Market(Domestic),8050,Real Estate,17,REAL ESTATE,7,TOPIX Small 2,False
20260430,1436,1436.T,GreenEnergy & Company Inc.,Growth Market(Domestic),2050,Construction,3,CONSTRUCTION & MATERIALS,-,,False
20260430,1438,1438.T,"Gifu landscape architect Co.,Ltd.",Standard Market(Domestic),2050,Construction,3,CONSTRUCTION & MATERIALS,-,,False
20260430,1443,1443.T,"Giken Holdings Co.,Ltd.",Standard Market(Domestic),2050,Construction,3,CONSTRUCTION & MATERIALS,-,,False
20260430,1444,1444.T,"Nissou Co.,Ltd.",Growth Market(Domestic),2050,Construction,3,CONSTRUCTION & MATERIALS,-,,False
20260430,1445,1445.T,"Hikari Holdings Co.,Ltd.",PRO Market,2050,Construction,3,CONSTRUCTION & MATERIALS,-,,False
20260430,1446,1446.T,"CANDEAL Co.,Ltd.",Standard Market(Domestic),2050,Construction,3,CONSTRUCTION & MATERIALS,-,,False
20260430,1447,1447.T,"SAAF Holdings Co.,Ltd.",Growth Market(Domestic),2050,Construction,3,CONSTRUCTION & MATERIALS,-,,False
20260430,1450,1450.T,TANAKEN Inc.,Standard Market(Domestic),2050,Construction,3,CONSTRUCTION & MATERIALS,-,,False
20260430,1452,1452.T,"YOKOHAMA WRIGHT Industries Co.,LTD",PRO Market,2050,Construction,3,CONSTRUCTION & MATERIALS,-,,False
20260430,1491,1491.T,"Chugai Mining Co.,Ltd.",Standard Market(Domestic),3500,Nonferrous Metals,7,STEEL & NONFERROUS METALS,-,,False
20260430,1514,1514.T,"Sumiseki Holdings,Inc.",Standard Market(Domestic),1050,Mining,2,ENERGY RESOURCES,7,TOPIX Small 2,False
20260430,1515,1515.T,"Nittetsu Mining Co.,Ltd.",Prime Market (Domestic),1050,Mining,2,ENERGY RESOURCES,6,TOPIX Small 1,False
20260430,1518,1518.T,"MITSUI MATSUSHIMA HOLDINGS CO.,LTD.",Prime Market (Domestic),3800,Other Products,10,"IT & SERVICES, OTHERS",6,TOPIX Small 1,False
20260430,1605,1605.T,INPEX CORPORATION,Prime Market (Domestic),1050,Mining,2,ENERGY RESOURCES,4,TOPIX Mid400,False
20260430,1662,1662.T,"Japan Petroleum Exploration Co.,Ltd.",Prime Market (Domestic),1050,Mining,2,ENERGY RESOURCES,6,TOPIX Small 1,False
20260430,1663,1663.T,K&O Energy Group Inc.,Prime Market (Domestic),1050,Mining,2,ENERGY RESOURCES,6,TOPIX Small 1,False
20260430,1711,1711.T,"SDS HOLDINGS Co.,Ltd.",Standard Market(Domestic),2050,Construction,3,CONSTRUCTION & MATERIALS,-,,False
20260430,1716,1716.T,DAI-ICHI CUTTER KOGYO K.K.,Standard Market(Domestic),2050,Construction,3,CONSTRUCTION & MATERIALS,7,TOPIX Small 2,False
20260430,1717,1717.T,Meiho Facility Works Ltd.,Standard Market(Domestic),9050,Services,10,"IT & SERVICES, OTHERS",-,,False
20260430,1718,1718.T,"MIKIKOGYO CO.,LTD.",Standard Market(Domestic),2050,Construction,3,CONSTRUCTION & MATERIALS,-,,False
20260430,1719,1719.T,HAZAMA ANDO CORPORATION,Prime Market (Domestic),2050,Construction,3,CONSTRUCTION & MATERIALS,4,TOPIX Mid400,False
20260430,1720,1720.T,"TOKYU CONSTRUCTION CO., LTD.",Prime Market (Domestic),2050,Construction,3,CONSTRUCTION & MATERIALS,6,TOPIX Small 1,False
20260430,1721,1721.T,COMSYS Holdings Corporation,Prime Market (Domestic),2050,Construction,3,CONSTRUCTION & MATERIALS,4,TOPIX Mid400,False
20260430,1723,1723.T,"NIHON DENGI CO.,LTD.",Standard Market(Domestic),2050,Construction,3,CONSTRUCTION & MATERIALS,-,,False
20260430,1724,1724.T,SYNCLAYER INC.,Standard Market(Domestic),2050,Construction,3,CONSTRUCTION & MATERIALS,-,,False
20260430,1726,1726.T,Br.Holdings Corporation,Prime Market (Domestic),2050,Construction,3,CONSTRUCTION & MATERIALS,7,TOPIX Small 2,False
20260430,1736,1736.T,OTEC CORPORATION,Standard Market(Domestic),2050,Construction,3,CONSTRUCTION & MATERIALS,-,,False
20260430,1758,1758.T,"Taiyo Kisokogyo Co.,Ltd.",Standard Market(Domestic),2050,Construction,3,CONSTRUCTION & MATERIALS,-,,False
20260430,1762,1762.T,"TAKAMATSU CONSTRUCTION GROUP CO.,LTD.",Prime Market (Domestic),2050,Construction,3,CONSTRUCTION & MATERIALS,7,TOPIX Small 2,False
20260430,1764,1764.T,KUDO CORPORATION,Standard Market(Domestic),2050,Construction,3,CONSTRUCTION & MATERIALS,-,,False
20260430,1766,1766.T,TOKEN CORPORATION,Prime Market (Domestic),2050,Construction,3,CONSTRUCTION & MATERIALS,6,TOPIX Small 1,False
20260430,1768,1768.T,SONEC CORPORATION,Standard Market(Domestic),2050,Construction,3,CONSTRUCTION & MATERIALS,-,,False
20260430,1770,1770.T,"FUJITA ENGINEERING CO.,LTD.",Standard Market(Domestic),2050,Construction,3,CONSTRUCTION & MATERIALS,-,,False
20260430,1776,1776.T,"SUMIKEN MITSUI ROAD CO., LTD.",Standard Market(Domestic),2050,Construction,3,CONSTRUCTION & MATERIALS,-,,False
20260430,1780,1780.T,YAMAURA CORPORATION,Prime Market (Domestic),2050,Construction,3,CONSTRUCTION & MATERIALS,7,TOPIX Small 2,False
20260430,1783,1783.T,"Fantasista Co.,Ltd.",Standard Market(Domestic),8050,Real Estate,17,REAL ESTATE,-,,False
20260430,1786,1786.T,Oriental Shiraishi Corporation,Prime Market (Domestic),2050,Construction,3,CONSTRUCTION & MATERIALS,7,TOPIX Small 2,False
20260430,1787,1787.T,"Nakabohtec Corrosion Protecting Co.,Ltd.",Standard Market(Domestic),2050,Construction,3,CONSTRUCTION & MATERIALS,-,,False
20260430,1788,1788.T,SANTO CORPORATION,Standard Market(Domestic),2050,Construction,3,CONSTRUCTION & MATERIALS,-,,False
20260430,1793,1793.T,"OHMOTO GUMI CO.,LTD.",Standard Market(Domestic),2050,Construction,3,CONSTRUCTION & MATERIALS,-,,False
20260430,1795,1795.T,MASARU CORPORATION,Standard Market(Domestic),2050,Construction,3,CONSTRUCTION & MATERIALS,-,,False
20260430,1798,1798.T,MORIYA CORPORATION,Standard Market(Domestic),2050,Construction,3,CONSTRUCTION & MATERIALS,-,,False
20260430,1799,1799.T,DAIICHI KENSETSU CORPORATION,Standard Market(Domestic),2050,Construction,3,CONSTRUCTION & MATERIALS,-,,False
20260430,1801,1801.T,TAISEI CORPORATION,Prime Market (Domestic),2050,Construction,3,CONSTRUCTION & MATERIALS,4,TOPIX Mid400,False
20260430,1802,1802.T,OBAYASHI CORPORATION,Prime Market (Domestic),2050,Construction,3,CONSTRUCTION & MATERIALS,4,TOPIX Mid400,False
20260430,1803,1803.T,SHIMIZU CORPORATION,Prime Market (Domestic),2050,Construction,3,CONSTRUCTION & MATERIALS,4,TOPIX Mid400,False
20260430,1807,1807.T,"WATANABE SATO CO.,LTD.",Standard Market(Domestic),2050,Construction,3,CONSTRUCTION & MATERIALS,-,,False
20260430,1808,1808.T,HASEKO Corporation,Prime Market (Domestic),2050,Construction,3,CONSTRUCTION & MATERIALS,4,TOPIX Mid400,False
20260430,1810,1810.T,"MATSUI CONSTRUCTION CO.,LTD.",Standard Market(Domestic),2050,Construction,3,CONSTRUCTION & MATERIALS,7,TOPIX Small 2,False
20260430,1811,1811.T,THE ZENITAKA CORPORATION,Standard Market(Domestic),2050,Construction,3,CONSTRUCTION & MATERIALS,-,,False
20260430,1812,1812.T,KAJIMA CORPORATION,Prime Market (Domestic),2050,Construction,3,CONSTRUCTION & MATERIALS,4,TOPIX Mid400,False
20260430,1813,1813.T,Fudo Tetra Corporation,Prime Market (Domestic),2050,Construction,3,CONSTRUCTION & MATERIALS,7,TOPIX Small 2,False
20260430,1814,1814.T,"DAISUE CONSTRUCTION CO.,LTD.",Prime Market (Domestic),2050,Construction,3,CONSTRUCTION & MATERIALS,-,,False
20260430,1815,1815.T,TEKKEN CORPORATION,Prime Market (Domestic),2050,Construction,3,CONSTRUCTION & MATERIALS,7,TOPIX Small 2,False
20260430,1820,1820.T,"Nishimatsu Construction Co.,Ltd.",Prime Market (Domestic),2050,Construction,3,CONSTRUCTION & MATERIALS,4,TOPIX Mid400,False
20260430,1822,1822.T,DAIHO CORPORATION,Standard Market(Domestic),2050,Construction,3,CONSTRUCTION & MATERIALS,7,TOPIX Small 2,False
20260430,1826,1826.T,"Sata Construction Co.,Ltd.",Standard Market(Domestic),2050,Construction,3,CONSTRUCTION & MATERIALS,-,,False
20260430,1827,1827.T,NAKANO CORPORATION,Standard Market(Domestic),2050,Construction,3,CONSTRUCTION & MATERIALS,-,,False
20260430,1828,1828.T,TANABE ENGINEERING CORPORATION,Standard Market(Domestic),2050,Construction,3,CONSTRUCTION & MATERIALS,-,,False
20260430,1833,1833.T,OKUMURA CORPORATION,Prime Market (Domestic),2050,Construction,3,CONSTRUCTION & MATERIALS,6,TOPIX Small 1,False
20260430,1835,1835.T,"TOTETSU KOGYO CO.,LTD.",Prime Market (Domestic),2050,Construction,3,CONSTRUCTION & MATERIALS,6,TOPIX Small 1,False
20260430,1840,1840.T,"TSUCHIYA HOLDINGS CO.,LTD.",Standard Market(Domestic),2050,Construction,3,CONSTRUCTION & MATERIALS,-,,False
20260430,1844,1844.T,"OHMORI CO.,LTD.",Standard Market(Domestic),2050,Construction,3,CONSTRUCTION & MATERIALS,-,,False
20260430,1847,1847.T,"ICHIKEN Co.,Ltd.",Standard Market(Domestic),2050,Construction,3,CONSTRUCTION & MATERIALS,-,,False
20260430,1848,1848.T,FUJI P.S CORPORATION,Standard Market(Domestic),2050,Construction,3,CONSTRUCTION & MATERIALS,-,,False
20260430,1850,1850.T,"Nankai Tatsumura Construction Co.,Ltd.",Standard Market(Domestic),2050,Construction,3,CONSTRUCTION & MATERIALS,-,,False
20260430,1852,1852.T,ASANUMA CORPORATION,Prime Market (Domestic),2050,Construction,3,CONSTRUCTION & MATERIALS,6,TOPIX Small 1,False
20260430,1853,1853.T,"Mori-Gumi Co.,Ltd.",Standard Market(Domestic),2050,Construction,3,CONSTRUCTION & MATERIALS,-,,False
20260430,1860,1860.T,TODA CORPORATION,Prime Market (Domestic),2050,Construction,3,CONSTRUCTION & MATERIALS,4,TOPIX Mid400,False
20260430,1861,1861.T,"Kumagai Gumi Co.,Ltd.",Prime Market (Domestic),2050,Construction,3,CONSTRUCTION & MATERIALS,6,TOPIX Small 1,False
20260430,1866,1866.T,KITANO CONSTRUCTION CORP.,Standard Market(Domestic),2050,Construction,3,CONSTRUCTION & MATERIALS,-,,False
20260430,1867,1867.T,UEKI CORPORATION,Standard Market(Domestic),2050,Construction,3,CONSTRUCTION & MATERIALS,-,,False
20260430,1870,1870.T,"YAHAGI CONSTRUCTION CO.,LTD.",Prime Market (Domestic),2050,Construction,3,CONSTRUCTION & MATERIALS,6,TOPIX Small 1,False
20260430,1871,1871.T,"PS Construction Co.,Ltd.",Prime Market (Domestic),2050,Construction,3,CONSTRUCTION & MATERIALS,7,TOPIX Small 2,False
20260430,1873,1873.T,"NIHON HOUSE HOLDINGS CO.,LTD.",Prime Market (Domestic),2050,Construction,3,CONSTRUCTION & MATERIALS,7,TOPIX Small 2,False
20260430,1878,1878.T,"DAITO TRUST CONSTRUCTION CO.,LTD.",Prime Market (Domestic),8050,Real Estate,17,REAL ESTATE,4,TOPIX Mid400,False
20260430,1879,1879.T,SHINNIHON CORPORATION,Prime Market (Domestic),2050,Construction,3,CONSTRUCTION & MATERIALS,7,TOPIX Small 2,False
20260430,1882,1882.T,TOA ROAD CORPORATION,Prime Market (Domestic),2050,Construction,3,CONSTRUCTION & MATERIALS,6,TOPIX Small 1,False
20260430,1885,1885.T,TOA CORPORATION,Prime Market (Domestic),2050,Construction,3,CONSTRUCTION & MATERIALS,6,TOPIX Small 1,False
20260430,1887,1887.T,JDC CORPORATION,Prime Market (Domestic),2050,Construction,3,CONSTRUCTION & MATERIALS,7,TOPIX Small 2,False
20260430,1888,1888.T,"WAKACHIKU CONSTRUCTION CO.,LTD.",Prime Market (Domestic),2050,Construction,3,CONSTRUCTION & MATERIALS,7,TOPIX Small 2,False
20260430,1893,1893.T,"PENTA-OCEAN CONSTRUCTION CO.,LTD.",Prime Market (Domestic),2050,Construction,3,CONSTRUCTION & MATERIALS,4,TOPIX Mid400,False
20260430,1897,1897.T,"The Kaneshita Construction Co.,Ltd.",Standard Market(Domestic),2050,Construction,3,CONSTRUCTION & MATERIALS,-,,False
20260430,1898,1898.T,"SEIKITOKYU KOGYO CO.,LTD.",Prime Market (Domestic),2050,Construction,3,CONSTRUCTION & MATERIALS,6,TOPIX Small 1,False
20260430,1899,1899.T,FUKUDA CORPORATION,Prime Market (Domestic),2050,Construction,3,CONSTRUCTION & MATERIALS,7,TOPIX Small 2,False
20260430,1904,1904.T,"TAISEI ONCHO CO.,LTD.",Standard Market(Domestic),2050,Construction,3,CONSTRUCTION & MATERIALS,-,,False
20260430,1905,1905.T,TENOX CORPORATION,Standard Market(Domestic),2050,Construction,3,CONSTRUCTION & MATERIALS,-,,False
20260430,1909,1909.T,"Nippon Dry-Chemical CO.,LTD.",Standard Market(Domestic),3600,Machinery,8,MACHINERY,-,,False
20260430,1911,1911.T,"Sumitomo Forestry Co.,Ltd.",Prime Market (Domestic),2050,Construction,3,CONSTRUCTION & MATERIALS,4,TOPIX Mid400,False
20260430,1914,1914.T,"JAPAN FOUNDATION ENGINEERING CO.,LTD.",Standard Market(Domestic),2050,Construction,3,CONSTRUCTION & MATERIALS,-,,False
20260430,1921,1921.T,TOMOE CORPORATION,Standard Market(Domestic),2050,Construction,3,CONSTRUCTION & MATERIALS,-,,False
20260430,1925,1925.T,"DAIWA HOUSE INDUSTRY CO.,LTD.",Prime Market (Domestic),2050,Construction,3,CONSTRUCTION & MATERIALS,2,TOPIX Large70,False
20260430,1926,1926.T,"RAITO KOGYO CO.,LTD.",Prime Market (Domestic),2050,Construction,3,CONSTRUCTION & MATERIALS,6,TOPIX Small 1,False
20260430,1928,1928.T,"Sekisui House,Ltd.",Prime Market (Domestic),2050,Construction,3,CONSTRUCTION & MATERIALS,2,TOPIX Large70,False
20260430,1929,1929.T,"NITTOC CONSTRUCTION CO.,LTD.",Prime Market (Domestic),2050,Construction,3,CONSTRUCTION & MATERIALS,7,TOPIX Small 2,False
20260430,1930,1930.T,"HOKURIKU ELECTRICAL CONSTRUCTION CO.,LTD.",Prime Market (Domestic),2050,Construction,3,CONSTRUCTION & MATERIALS,7,TOPIX Small 2,False
20260430,1934,1934.T,YURTEC CORPORATION,Prime Market (Domestic),2050,Construction,3,CONSTRUCTION & MATERIALS,6,TOPIX Small 1,False
20260430,1938,1938.T,"NIPPON RIETEC CO.,LTD.",Prime Market (Domestic),2050,Construction,3,CONSTRUCTION & MATERIALS,7,TOPIX Small 2,False
20260430,1939,1939.T,YONDENKO CORPORATION,Prime Market (Domestic),2050,Construction,3,CONSTRUCTION & MATERIALS,7,TOPIX Small 2,False
20260430,1941,1941.T,CHUDENKO CORPORATION,Prime Market (Domestic),2050,Construction,3,CONSTRUCTION & MATERIALS,6,TOPIX Small 1,False
20260430,1942,1942.T,"KANDENKO CO.,LTD.",Prime Market (Domestic),2050,Construction,3,CONSTRUCTION & MATERIALS,4,TOPIX Mid400,False
20260430,1944,1944.T,KINDEN CORPORATION,Prime Market (Domestic),2050,Construction,3,CONSTRUCTION & MATERIALS,4,TOPIX Mid400,False
20260430,1945,1945.T,TOKYO ENERGY & SYSTEMS INC.,Prime Market (Domestic),2050,Construction,3,CONSTRUCTION & MATERIALS,7,TOPIX Small 2,False
20260430,1946,1946.T,TOENEC CORPORATION,Prime Market (Domestic),2050,Construction,3,CONSTRUCTION & MATERIALS,7,TOPIX Small 2,False
20260430,1948,1948.T,"The Kodensha,Co.,Ltd.",Standard Market(Domestic),2050,Construction,3,CONSTRUCTION & MATERIALS,-,,False
20260430,1950,1950.T,"NIPPON DENSETSU KOGYO CO.,LTD.",Prime Market (Domestic),2050,Construction,3,CONSTRUCTION & MATERIALS,6,TOPIX Small 1,False
20260430,1951,1951.T,"EXEO Group,Inc.",Prime Market (Domestic),2050,Construction,3,CONSTRUCTION & MATERIALS,4,TOPIX Mid400,False
20260430,1952,1952.T,"Shin Nippon Air Technologies Co.,Ltd.",Prime Market (Domestic),2050,Construction,3,CONSTRUCTION & MATERIALS,6,TOPIX Small 1,False
20260430,1959,1959.T,KRAFTIA CORPORATION,Prime Market (Domestic),2050,Construction,3,CONSTRUCTION & MATERIALS,4,TOPIX Mid400,False
20260430,1960,1960.T,Sanyo Engineering & Construction Inc.,Standard Market(Domestic),2050,Construction,3,CONSTRUCTION & MATERIALS,-,,False
20260430,1961,1961.T,"SANKI ENGINEERING CO.,LTD.",Prime Market (Domestic),2050,Construction,3,CONSTRUCTION & MATERIALS,6,TOPIX Small 1,False
20260430,1963,1963.T,JGC HOLDINGS CORPORATION,Prime Market (Domestic),2050,Construction,3,CONSTRUCTION & MATERIALS,4,TOPIX Mid400,False
20260430,1964,1964.T,"Chugai Ro Co.,Ltd.",Prime Market (Domestic),2050,Construction,3,CONSTRUCTION & MATERIALS,7,TOPIX Small 2,False
20260430,1965,1965.T,TECHNO RYOWA LTD.,Standard Market(Domestic),2050,Construction,3,CONSTRUCTION & MATERIALS,-,,False
20260430,1966,1966.T,TAKADA CORPORATION,Standard Market(Domestic),2050,Construction,3,CONSTRUCTION & MATERIALS,-,,False
20260430,1967,1967.T,YAMATO CORPORATION,Standard Market(Domestic),2050,Construction,3,CONSTRUCTION & MATERIALS,-,,False
20260430,1968,1968.T,"TAIHEI DENGYO KAISHA,LTD.",Prime Market (Domestic),2050,Construction,3,CONSTRUCTION & MATERIALS,6,TOPIX Small 1,False
20260430,1969,1969.T,"Takasago Thermal Engineering Co.,Ltd.",Prime Market (Domestic),2050,Construction,3,CONSTRUCTION & MATERIALS,4,TOPIX Mid400,False
20260430,1972,1972.T,"SANKO METAL INDUSTRIAL CO.,LTD.",Standard Market(Domestic),2050,Construction,3,CONSTRUCTION & MATERIALS,-,,False
20260430,1975,1975.T,"ASAHI KOGYOSHA CO.,LTD.",Prime Market (Domestic),2050,Construction,3,CONSTRUCTION & MATERIALS,6,TOPIX Small 1,False
20260430,1976,1976.T,"MEISEI INDUSTRIAL Co.,Ltd.",Prime Market (Domestic),2050,Construction,3,CONSTRUCTION & MATERIALS,7,TOPIX Small 2,False
20260430,1979,1979.T,Taikisha Ltd.,Prime Market (Domestic),2050,Construction,3,CONSTRUCTION & MATERIALS,6,TOPIX Small 1,False
20260430,1980,1980.T,"DAI-DAN CO.,LTD.",Prime Market (Domestic),2050,Construction,3,CONSTRUCTION & MATERIALS,6,TOPIX Small 1,False
20260430,1981,1981.T,"KYOWANISSEI CO.,LTD.",Standard Market(Domestic),2050,Construction,3,CONSTRUCTION & MATERIALS,-,,False
20260430,1982,1982.T,"Hibiya Engineering,Ltd.",Prime Market (Domestic),2050,Construction,3,CONSTRUCTION & MATERIALS,7,TOPIX Small 2,False
20260430,1992,1992.T,"KANDA TSUSHINKI CO.,LTD.",Standard Market(Domestic),2050,Construction,3,CONSTRUCTION & MATERIALS,-,,False
20260430,1994,1994.T,TAKAHASHI CURTAIN WALL CORPORATION,Standard Market(Domestic),2050,Construction,3,CONSTRUCTION & MATERIALS,-,,False
20260430,1997,1997.T,"AKATSUKI EAZIMA CO.,LTD.",Standard Market(Domestic),2050,Construction,3,CONSTRUCTION & MATERIALS,-,,False
20260430,2001,2001.T,NIPPN CORPORATION,Prime Market (Domestic),3050,Foods,1,FOODS,6,TOPIX Small 1,False
20260430,2002,2002.T,NISSHIN SEIFUN GROUP INC.,Prime Market (Domestic),3050,Foods,1,FOODS,4,TOPIX Mid400,False
20260430,2003,2003.T,"NITTO FUJI FLOUR MILLING CO.,LTD.",Standard Market(Domestic),3050,Foods,1,FOODS,7,TOPIX Small 2,False
20260430,2004,2004.T,"Showa Sangyo Co.,Ltd.",Prime Market (Domestic),3050,Foods,1,FOODS,7,TOPIX Small 2,False
20260430,2009,2009.T,"THE TORIGOE CO.,LTD.",Standard Market(Domestic),3050,Foods,1,FOODS,-,,False
20260430,2053,2053.T,"CHUBU SHIRYO CO.,LTD.",Prime Market (Domestic),3050,Foods,1,FOODS,7,TOPIX Small 2,False
20260430,2055,2055.T,"NICHIWA SANGYO CO.,LTD.",Standard Market(Domestic),3050,Foods,1,FOODS,-,,False
20260430,2060,2060.T,"FEED ONE CO.,LTD.",Prime Market (Domestic),3050,Foods,1,FOODS,7,TOPIX Small 2,False
20260430,2108,2108.T,"Nippon Beet Sugar Manufacturing Co.,Ltd.",Prime Market (Domestic),3050,Foods,1,FOODS,7,TOPIX Small 2,False
20260430,2109,2109.T,"Mitsui DM Sugar Co.,Ltd.",Prime Market (Domestic),3050,Foods,1,FOODS,6,TOPIX Small 1,False
20260430,2112,2112.T,"Ensuiko Sugar Refining Co.,Ltd.",Standard Market(Domestic),3050,Foods,1,FOODS,-,,False
20260430,2114,2114.T,Fuji Nihon Corporation,Standard Market(Domestic),3050,Foods,1,FOODS,-,,False
20260430,2117,2117.T,"WELLNEO SUGAR Co.,Ltd.",Prime Market (Domestic),3050,Foods,1,FOODS,7,TOPIX Small 2,False
20260430,2120,2120.T,"LIFULL Co.,Ltd.",Prime Market (Domestic),9050,Services,10,"IT & SERVICES, OTHERS",7,TOPIX Small 2,False
20260430,2121,2121.T,"MIXI,Inc.",Prime Market (Domestic),5250,Information & Communication,10,"IT & SERVICES, OTHERS",6,TOPIX Small 1,False
20260430,2122,2122.T,"Interspace Co.,Ltd.",Standard Market(Domestic),9050,Services,10,"IT & SERVICES, OTHERS",-,,False
20260430,2124,2124.T,"JAC Recruitment Co.,Ltd.",Prime Market (Domestic),9050,Services,10,"IT & SERVICES, OTHERS",6,TOPIX Small 1,False
20260430,2127,2127.T,Nihon M&A Center Holdings Inc.,Prime Market (Domestic),9050,Services,10,"IT & SERVICES, OTHERS",4,TOPIX Mid400,False
20260430,2130,2130.T,"Members Co.,Ltd.",Prime Market (Domestic),9050,Services,10,"IT & SERVICES, OTHERS",7,TOPIX Small 2,False
20260430,2134,2134.T,"Kitahama Capital Partners Co.,Ltd.",Standard Market(Domestic),9050,Services,10,"IT & SERVICES, OTHERS",-,,False
20260430,2136,2136.T,HIP CORPORATION,Standard Market(Domestic),9050,Services,10,"IT & SERVICES, OTHERS",-,,False
20260430,2138,2138.T,"CROOZ,Inc.",Standard Market(Domestic),5250,Information & Communication,10,"IT & SERVICES, OTHERS",-,,False
20260430,2139,2139.T,"CHUCO CO.,LTD.",Standard Market(Domestic),9050,Services,10,"IT & SERVICES, OTHERS",-,,False
20260430,2146,2146.T,"UT Group Co.,Ltd.",Prime Market (Domestic),9050,Services,10,"IT & SERVICES, OTHERS",6,TOPIX Small 1,False
20260430,2148,2148.T,ITmedia Inc.,Prime Market (Domestic),9050,Services,10,"IT & SERVICES, OTHERS",7,TOPIX Small 2,False
20260430,2152,2152.T,Youji Corporation,Standard Market(Domestic),9050,Services,10,"IT & SERVICES, OTHERS",-,,False
20260430,2153,2153.T,E・J Holdings Inc.,Prime Market (Domestic),9050,Services,10,"IT & SERVICES, OTHERS",7,TOPIX Small 2,False
20260430,2154,2154.T,Open Up Group Inc.,Prime Market (Domestic),9050,Services,10,"IT & SERVICES, OTHERS",6,TOPIX Small 1,False
20260430,2156,2156.T,SAYLOR ADVERTISING INC.,Standard Market(Domestic),9050,Services,10,"IT & SERVICES, OTHERS",-,,False
20260430,2157,2157.T,"KOSHIDAKA HOLDINGS Co.,LTD.",Prime Market (Domestic),9050,Services,10,"IT & SERVICES, OTHERS",6,TOPIX Small 1,False
20260430,2158,2158.T,"FRONTEO,Inc.",Growth Market(Domestic),9050,Services,10,"IT & SERVICES, OTHERS",-,,False
