code,ticker,company_name,market,sector_33,investment_eligible,profitability_score,cash_generation_score,stability_score,competitive_position_score,moat_score,transformation_score,future_moat_score,valuation_score,momentum_score,risk_score,adjusted_bb_score
8309,8309.T,"Sumitomo Mitsui Trust Group,Inc.",Prime Market (Domestic),Banks,True,0.4151617430380385,1.6577017456966328,0.5689073902824737,1.5742790241673623,0.9883693293774389,1.0977351104346007,-0.411080513804854,0.8589115515411094,0.3003645875255153,-0.7585850389470676,0.6823521176588505
8316,8316.T,"Sumitomo Mitsui Financial Group,Inc.",Prime Market (Domestic),Banks,True,-0.07904839279417684,-0.19632725140137527,0.551017385066735,2.2330068887467296,0.48005610443438723,-0.2557282787901751,-0.411080513804854,-0.34335432503347324,0.6621311302893617,-0.610404359033303,0.03251100766856167
8331,8331.T,"The Chiba Bank,Ltd.",Prime Market (Domestic),Banks,True,-0.07021165979391084,-0.3580948389146343,-0.014224027898884647,1.1285438328386646,0.10876617033142863,-0.29031870238268453,-0.411080513804854,-0.4089124399866545,0.7455886652739511,-0.302137762759899,-0.11983820183231189
8334,8334.T,"The Gunma Bank,Ltd.",Prime Market (Domestic),Banks,True,0.022474581937288518,0.022474581937288518,0.014735343836591905,0.8100891391804809,0.1784496457657877,0.013484749162373112,-0.411080513804854,0.0,0.9833230082933425,-0.5381389474989664,0.08572812245810428
8336,8336.T,"The Musashino Bank,Ltd.",Prime Market (Domestic),Banks,True,-0.09933535850347368,-0.09933535850347368,0.13931551646395177,0.44376546740767253,0.057014981672240665,-0.05960121510208421,-0.411080513804854,0.0,1.817469216060619,-0.6926083068188817,0.12988778887264502
8337,8337.T,"The Chiba Kogyo Bank,Ltd.",Prime Market (Domestic),Banks,True,-0.10176041311160085,-0.10176041311160085,-0.2951357448243012,0.14090988327999474,-0.09190142017582181,-0.06105624786696051,-0.411080513804854,0.0,0.9656470440866842,0.07585647502395142,-0.07717958525466957
8338,8338.T,"Tsukuba Bank,Ltd.",Prime Market (Domestic),Banks,True,-0.16374481290808487,-0.16374481290808487,-0.2502595974285769,0.2501054730100755,-0.09827771262855121,-0.09824688774485094,-0.411080513804854,0.0,2.0069490163499237,0.13924460243617046,0.009401251525141038
8341,8341.T,"The 77 Bank,Ltd.",Prime Market (Domestic),Banks,True,-0.01784027154937213,-0.01784027154937213,-0.015663468925234205,0.7925319179283266,0.1446695268709952,-0.010704162929623277,-0.411080513804854,0.0,1.1379321265427467,-0.49708995050012317,0.08090287089172353
8343,8343.T,"THE AKITA BANK,LTD.",Prime Market (Domestic),Banks,True,-0.1457901862276739,-0.1457901862276739,0.14440673762223774,0.1412416990924044,-0.0303444243936759,-0.08747411173660434,-0.411080513804854,0.0,1.2661164173012935,-0.6513525142103939,0.03745088375745871
8344,8344.T,"The Yamagata Bank,Ltd.",Prime Market (Domestic),Banks,True,-0.18493199685140752,-0.18493199685140752,0.02300956634811424,0.09779995273019064,-0.08679729429518353,-0.11095919811084452,-0.411080513804854,0.0,1.1052843155850511,-0.5805347103666259,-0.008521239362554694
8345,8345.T,"The Bank of Iwate,Ltd.",Prime Market (Domestic),Banks,True,-0.14849677952794338,-0.14849677952794338,0.05984717319122843,0.24311204342615134,-0.028506224393290064,-0.08909806771676604,-0.411080513804854,0.0,2.51908302387168,-0.6066536117929736,0.1584231251778306
8346,8346.T,"The Toho Bank,Ltd.",Prime Market (Domestic),Banks,True,-0.14547119084589996,-0.14547119084589996,0.16292873648562625,0.34674959297746183,0.014652951385077662,-0.08728271450753998,-0.411080513804854,0.0,1.391476181022178,-0.42735405237258584,0.041134075986658504
8349,8349.T,"THE TOHOKU BANK,LTD.",Standard Market(Domestic),Banks,True,-0.14865660377049864,-0.14865660377049864,0.3603789048353015,-0.6109381781483586,-0.1393058169249106,-0.0891939622622992,-0.411080513804854,0.0,0.15067775355782426,-0.9675315279921088,-0.07559346162951085
8354,8354.T,"Fukuoka Financial Group,Inc.",Prime Market (Domestic),Banks,True,0.1705706842543743,-0.16445736300946553,0.48799112118306304,1.0954782474063194,0.33527927245454114,-0.054809948073755485,-0.411080513804854,-0.11084163124074997,0.6471348704178956,-0.4459346407449578,0.056237847006640126
8358,8358.T,Suruga Bank Ltd.,Prime Market (Domestic),Banks,True,-0.018698493233715887,-0.018698493233715887,0.006708196844762481,0.494356225357713,0.08899378850026557,-0.011219095940229531,-0.411080513804854,0.0,0.9229911728889576,-0.41848151916679577,0.03471647762914143
8359,8359.T,"Hachijuni Nagano Bank,Ltd.",Prime Market (Domestic),Banks,True,-0.09673827295117665,-0.09673827295117665,0.058372131458648564,0.9433221073854211,0.14229588399810794,-0.058042963770705995,-0.411080513804854,0.0,1.2062642608471053,-0.6017173914164458,0.0856520353416548
8360,8360.T,"The Yamanashi Chuo Bank,Ltd.",Prime Market (Domestic),Banks,True,-0.15372617389781568,-0.15372617389781568,-0.04953888660296499,0.32904456151684813,-0.03633456935591278,-0.09223570433868941,-0.411080513804854,0.0,1.7940079419108617,-0.3922450577985647,0.06134184893804026
8361,8361.T,"The Ogaki Kyoritsu Bank,Ltd.",Prime Market (Domestic),Banks,True,-0.11149325650229308,-0.11149325650229308,0.11196751164047712,0.560412552497842,0.06758005892628799,-0.06689595390137586,-0.411080513804854,0.0,3.1329230679771096,-0.7128778788723958,0.2648059697460368
8362,8362.T,"The Fukui Bank,Ltd.",Prime Market (Domestic),Banks,True,-0.08488836370353518,-0.08488836370353518,0.07999498405175258,0.11001851652921917,-0.012930318105926757,-0.05093301822212111,-0.411080513804854,0.0,2.33171214207038,-0.3486716263865446,0.12810187271692797
8364,8364.T,"THE SHIMIZU BANK,LTD.",Prime Market (Domestic),Banks,True,-0.20667414432965028,-0.20667414432965028,0.2770030708880718,-0.2721553352407479,-0.12303493946832542,-0.12400448659779018,-0.411080513804854,0.0,0.9862562183976762,-0.8440222937406155,-0.0082079064175722
8365,8365.T,"The Bank of Toyama,Ltd.",Standard Market(Domestic),Banks,True,-0.16539224158291757,-0.16539224158291757,0.22154822218846673,-0.7519469905617241,-0.205315098624402,-0.09923534494975055,-0.411080513804854,0.0,0.21431844571190706,-0.434805386169243,-0.1448151367780994
