code,bm_raw,ep_raw,gross_profitability,sloan_accruals
6647,1.4862982062796335,0.1630004779337212,0.209397821745732,0.07715215074345635
6997,0.4659198611634442,,0.14584332091799732,-0.00195457403098119
7775,0.6924241547106602,0.0903230706684094,0.366420002935316,-0.0020992097450638304
7722,1.0987270592807843,0.0947292079341069,0.2317952799560965,-0.0015433958325173538
6822,1.14179362347138,0.1605278234508272,0.2393845218390028,-0.06311727493059271
5802,0.2461671769638116,0.0215797825423729,0.17890918020303692,-0.037314008506899886
6592,0.8661557196375197,0.1011028113247471,0.1275428907844806,0.007713872395643458
6870,1.0438297328296378,0.0891082362265184,0.2164850118172081,0.04668599234682008
6508,0.3163278737869062,0.0419821976334913,0.23902949198323115,-0.04904353279083732
6912,0.8255452236445029,0.0845320245050139,0.3988522015353797,-0.04205248479359136
6998,1.2629702612414828,0.0679589187773017,0.16605228832303068,-0.019787172850158182
6644,0.8760069513067674,0.0596607989507505,0.2332235631211883,-0.026254881368720496
6861,0.1597786343757677,0.0204907980518601,0.2698812850690619,-0.0034748871764958707
6928,0.8533257700711733,0.017451473165119,0.09584581061155299,-0.008713888954237322
6134,0.3034992505130406,0.0151553937480103,0.1909050346106456,-0.05045373223538344
6346,1.7023647412875764,0.1030702702403121,0.16115187337707937,0.045841255649599635
7740,0.5047780484733864,0.0691028462955325,0.35283744789996796,-0.032031887816356915
6498,0.5733718465648981,0.0560352634421509,0.2547728197477282,-0.010803658779304294
6674,0.6081164812614117,0.0527259185465548,0.20105717143936183,-0.007991700243112972
6417,0.8237260682202047,0.1675610369474735,0.33360557632852106,0.003504932986444624
6794,1.1159323840996305,0.0943325013693799,0.22581581262988412,-0.0860893340268069
4975,0.2582184968441354,0.0437991372712474,0.33920040276262925,-0.00606326794242849
6654,1.8351909367056785,0.0414834795151218,0.10926773409737182,-0.018309169565182012
7261,2.5609190009374183,0.1628279785698918,0.2279626242047051,-0.04157340572749533
6853,0.7606306977757273,0.0441476667035257,0.2620378075877974,0.020642084811353434
6787,0.1168374268716597,0.015256933489508,0.15514927876551493,-0.026973676093813615
6651,0.6587840120634483,0.0684019860946684,0.2679683983928078,-0.037685944698469226
6156,0.7451353700875992,,0.0516880744646396,-0.043836582457569426
4022,1.7852927535571048,0.2005148190762024,0.21015314804310833,-0.042302104013930635
4966,0.2823445456174973,0.0374570629871275,0.249601255087646,-0.04120912736529885
6505,1.428785021478706,0.1110262744461086,0.19926705506483744,0.029123991531727414
6744,0.470265288228328,0.0401369235465506,0.2783667012230565,-0.002768511724554664
6282,1.0076259780538703,0.0829897560655737,0.25369265539143754,-0.025939841643847248
6306,1.0639181064799286,0.0618463968726324,0.21956845821890938,-0.015640630706448385
6706,1.1362522004035078,0.0237924908969608,0.13229968311453147,0.04803562025994661
6365,1.2103049442239904,0.1055048435029608,0.18102745311225876,0.00818560933727551
6850,1.7894848890007036,0.1598405389607946,0.24800741427247452,-0.008264351571438186
6676,1.2518549409299973,0.1669436413443516,0.41612667942199344,-0.07599912835040314
6969,0.4240210020307929,0.0691479533297493,0.21687022761815486,0.08107337169913573
6743,2.1327680746723243,0.1234776994040355,0.13297174387831606,0.048277829825976316
6143,0.8929946065974429,0.0444959560908342,0.1811683098365394,-0.01751316979726494
6384,1.0713128197995276,0.051940565893367,0.17329964749470259,0.02572773302734032
6265,1.2074128795669408,0.0497005558350487,0.15728465042556847,-0.028268611817646304
6848,1.2916019118550892,0.0679418314872447,0.21997696576274736,-0.023710482529118136
6403,0.5920713564166067,0.0248393072499401,0.23277681826904625,-0.09634809634809635
6678,1.189878289869373,0.0734906442580834,0.2747347649634994,0.0015293239729900852
4732,0.2560570641298701,0.0454184873050134,0.233476447409179,-0.0006056924336829505
6823,0.7010244674396338,0.0739166510713826,0.3593589092580891,-0.003213282911908105
6675,2.7866595192696706,0.6279132683518839,0.29681658297015684,0.08456781577368591
6863,0.8575390119360582,0.0806301254847625,0.23248893177188742,0.013932164498353302
6859,0.6510720568761592,0.0689394732582079,0.3162550924888262,0.020222998143845487
4186,0.1892166336627397,0.0306027735978086,0.2667525619460053,0.012941858844953679
6161,1.0286386111887635,0.1189105942218289,0.3038485540468673,-0.07346443052379605
6670,0.4175065449999248,0.0656466804519441,0.3851112667869014,-0.027547085430486958
6144,0.7327544802960859,0.0559191085502306,0.20141776733963931,0.037477470011808824
7713,1.0795888777250962,0.0603981462247179,0.21267558048627289,0.02975292800952903
6858,1.900658010252953,0.0510566447372653,0.2816416471560391,-0.006869024412884062
6963,0.4447310580563182,,0.05154414495077268,-0.09173115074781685
4972,0.6639747347138842,0.0764997703799079,0.2915678345011481,-0.029553274444961922
6396,0.76282846258402,0.090175172470833,0.1412546876765743,-0.042394584621562446
6890,0.8507123049969936,0.0507457834406596,0.12214761077801439,-0.012184196380576957
6392,0.8945843000400607,0.0864798164489032,0.30600515548494595,0.000765971614226606
6668,0.4816143458603661,0.0733217015961279,0.1744068287037037,-0.049564439249776285
6402,1.0953141715332289,0.1053972209754142,0.26491345350265266,-0.0025611765938605598
4800,0.3403512105896696,0.0698866838590285,0.43042440236589175,0.0008073347032822206
6653,0.5991936473307324,0.0674419960177661,0.17142445628690767,-0.054484518648341175
6488,1.438972617431428,0.0794505712248629,0.19346331605506603,-0.02439336849029084
6235,0.3911050324801383,0.0200938425431466,0.13280194257222455,-0.06646505333997063
6380,0.256546256438715,0.0147535648317612,0.1529339323587767,0.023289120195371042
7721,0.4310814585838857,0.0406934505371819,0.20689700249682993,0.06030318870883429
6742,1.1048715529037858,0.1021949031644873,0.1486052140788064,0.008138734113817067
6302,1.113332001441348,0.0534469059234131,0.1949691738594328,-0.023643934945509593
6140,0.8993332432533712,0.0377392078044636,0.14802687587588897,-0.04122407688416793
6267,1.1364380196797688,0.1173482592695845,0.2831802286257908,0.03420234473155009
6485,1.3811179819671309,0.0826502912687982,0.21298752119657377,-0.0018268216565357808
6209,1.4817065676218504,0.0885178586841959,0.18622657444817275,-0.03764410168523279
6507,0.2111585494888977,0.0318784082313169,0.23342639612507052,0.005293771409978467
5105,0.9225291248042264,0.1122830903998516,0.3117353116105187,-0.03990205391371042
5406,1.5960241103581545,0.1558519977682185,0.14638887630216396,-0.009452010875560397
6284,0.4196439979751623,0.0551661069505909,0.26255964075217514,-0.008481809099750574
4461,0.4020320332236844,0.0345084119835177,0.18780183909466291,-0.03869553874249935
6250,0.7880704217810706,0.0948850845847187,0.34415695530314205,0.03393655420071698
6517,1.0929705777112,0.0809246483931077,0.1648244744424782,-0.012498836668217776
6332,1.0009317918034504,0.0758019096618066,0.1500717822812201,-0.04985234671290305
6999,0.7201808647696616,0.0079569336358496,0.10750364168216109,-0.044238538502441735
6788,0.7168521492261578,0.071650422035282,0.4366283445964857,-0.003646746251861401
8086,1.1016580805109957,0.0666147121377207,0.14226251075075683,-0.03826134430583166
6247,1.5539522303293634,0.1003794264647351,0.11817841034136668,-0.01023592408659859
6845,0.2718440548736409,0.047042086039223,0.418517037375584,-0.007417302798982188
6748,2.0190775355373765,0.132418497637043,0.20108993699117142,-0.028212918519630346
6923,1.1200450529410444,0.0754793211901376,0.14097024432867977,-0.03596619449346958
6331,0.4664259930749094,0.0595310231044152,0.19956478375192674,0.12663904007916874
6457,1.0275330080484286,0.1061018465274201,0.35362896378394904,-0.047046032526820485
6964,2.6702271825450605,0.0974042825480756,0.09315498524982736,0.012570698105830011
6763,1.0127108911630411,0.0896527056334726,0.15926736653955978,0.021368449529063065
2461,0.6312457096231998,0.0556252729760761,0.2688308476036587,-0.022507844343270727
6770,0.912588054476894,0.0954504093656446,0.23648636790128458,-0.029914953060940493
6838,0.3507644208541699,0.0172229108873481,0.15012754328330571,0.027878565069288718
6466,1.3258446335961922,0.066332764990054,0.15942809885710787,0.03675928551359432
6159,1.4963978518186658,0.0794302790655395,0.13432714900694673,-0.06253173187786527
6371,0.964918882062532,0.081595680138404,0.22121073456972895,0.0022862896036748436
7760,0.2973119344122291,0.048409508001318,0.2892760588765395,-0.0898390001055479
4287,0.7007840900354374,0.0906909360629027,0.2896728741657186,-0.044512271908989265
5983,1.4179508740190172,0.0940726198586138,0.14569394268151412,0.021195628949085544
5714,0.6743777604379019,0.0454502097778271,0.12768343928297177,0.023202517927727786
6518,1.0804179162474508,0.0107547595368308,0.13989673222757162,-0.009655669110204953
6369,2.2203929521027295,0.2077213586998878,0.1963491310279376,-0.02453316780834571
6989,1.1876369184140765,0.1147217628230741,0.19861095034147472,-0.0454974068835455
6633,1.0866956598465365,0.0978080573200848,0.4317703092412599,0.009448640159767058
6484,1.5078525513775358,0.1123625834039233,0.2096674626307436,-0.041117271860609504
7991,2.2785564569033103,0.4305673425922207,0.2596348132457415,-0.048847278175216134
6286,1.702879315573918,0.1116226923995294,0.3183233608648727,-0.07390272572016304
6345,0.8372392658783417,0.067801402441936,0.13007150354090008,-0.031413756216997386
6750,0.636660544761159,0.0716023686242777,0.4025535994422172,-0.06939872817826184
6436,0.5366572976172441,0.0707589266558006,0.40603999217857545,-0.03518392918877978
4441,0.2238003243174516,0.0539548312872828,0.35958827041574903,-0.23135971049610796
2433,0.9960339045325776,0.0301327210640666,0.380500308991412,-0.06707350116655197
6820,1.5807416771706038,0.0692523447398336,0.21465961835997938,0.005611535677452004
6915,1.429604761968747,0.2391901523103305,0.18011792412287486,0.04422933477995525
6291,1.1822274747794768,0.0905568472936884,0.18116842510886716,-0.025758047012694855
9104,1.4728756301975552,0.2305752586651844,0.056877919410309556,0.01290722085158584
6322,0.9537901313651552,0.1127582936360329,0.3523892365738056,0.014744227527020804
6597,0.1231958261158818,0.0215288428735993,0.4648552601012462,-0.18975235735567958
6599,0.9273871391533838,0.0607291920988687,0.1464239783212594,-0.011882496407251824
6463,4.331748843938584,0.2511361023324023,0.13924283389064065,-0.034919393801781995
