trial_id,algorithm,seed,weights_json,penalty_weights_json,normalization_method,missing_handling,overall_weight_objective,phase1_top5_rank_score,quality_preservation_score,value_discipline_score,distress_control_score,liquidity_adequacy_score,sector_diversity_score,stability_score,interpretability_score,weight_concentration,effective_number_of_weights,top1000_sector_hhi,top1000_distress_flag_rate,top1000_anomaly_flag_rate,top20_phase1_top5_count,top50_phase1_top5_count,top100_phase1_top5_count,top300_phase1_top5_count,top500_phase1_top5_count,top1000_phase1_top5_count,notes
201,random_search,42,"{""bm"": 0.4643533650169377, ""distress"": 0.012328121313739481, ""ep"": 0.1487073928665149, ""gp"": 0.004883337346403847, ""liquidity"": 0.17072191680793372, ""piotroski"": 0.07919662560805892, ""sloan"": 0.11980924104041146}","{""anomaly"": 0.04688739658829252, ""microcap"": 0.031245448140861474, ""missing"": 0.13660563643304616, ""onetime"": 0.29992960107430316}",market_percentile,median_impute_with_missing_penalty,0.8250518239404437,0.9912653324725629,0.6666666666666666,1.0,0.845,1.0,0.7046,0.4965729787160932,0.4965729787160932,0.28768609847943194,3.4760108510126524,0.059079999999999994,0.024,0.07,0,0,1,5,5,5,lightweight deterministic proxy for requested large search budget
879,nsga2_proxy,42,"{""bm"": 0.13564757950558712, ""distress"": 0.45115728079869594, ""ep"": 0.12416082394114267, ""gp"": 0.024493345475911144, ""liquidity"": 0.059538055306306424, ""piotroski"": 0.005650044967082518, ""sloan"": 0.19935287000527416}","{""anomaly"": 0.15455024610423518, ""microcap"": 0.23824635543426012, ""missing"": 0.21297020369847697, ""onetime"": 0.06734132579476917}",market_percentile,median_impute_with_missing_penalty,0.824865581163188,0.8875855390574564,0.6666666666666666,1.0,0.9995,1.0,0.6647700000000001,0.507887277930806,0.507887277930806,0.2812772618348703,3.555210945515642,0.06704599999999998,0.0,0.001,0,0,1,3,5,5,lightweight deterministic proxy for requested large search budget
773,nsga2_proxy,42,"{""bm"": 0.46773980711665447, ""distress"": 0.0017561166253704926, ""ep"": 0.006618751757565315, ""gp"": 0.1082183594483917, ""liquidity"": 0.13536655383948545, ""piotroski"": 0.22272226650589744, ""sloan"": 0.057578144706635054}","{""anomaly"": 0.03234415350912607, ""microcap"": 0.1436245244046163, ""missing"": 0.11771488974879446, ""onetime"": 0.07809505669742968}",market_percentile,median_impute_with_missing_penalty,0.8245123488942088,0.9950806972240155,0.6666666666666666,1.0,0.859,1.0,0.69841,0.47337674541171293,0.47337674541171293,0.3017831869474171,3.3136372178819906,0.060318,0.021,0.072,0,3,4,5,5,5,lightweight deterministic proxy for requested large search budget
819,nsga2_proxy,42,"{""bm"": 0.3159515466685616, ""distress"": 0.073062572041299, ""ep"": 0.07358325185145145, ""gp"": 0.02274367216444695, ""liquidity"": 0.19455658598323378, ""piotroski"": 0.029009755814716362, ""sloan"": 0.291092615476291}","{""anomaly"": 0.1410052567531891, ""microcap"": 0.27432784668979016, ""missing"": 0.03226299026248184, ""onetime"": 0.1384672975687666}",market_percentile,median_impute_with_missing_penalty,0.8243911311477354,0.832588766946417,0.6666666666666666,1.0,0.96,1.0,0.70777,0.6091364813204329,0.6091364813204329,0.23452403071881298,4.26395536924303,0.05844600000000001,0.006,0.02,0,0,1,2,4,5,lightweight deterministic proxy for requested large search budget
349,random_search,42,"{""bm"": 0.2385284013665854, ""distress"": 0.0380816338589304, ""ep"": 0.04392501872266776, ""gp"": 0.3791972297978347, ""liquidity"": 0.05078041255962228, ""piotroski"": 0.10947680575073034, ""sloan"": 0.14001049794362902}","{""anomaly"": 0.03596374018700198, ""microcap"": 0.2997120052516659, ""missing"": 0.0005789123620018377, ""onetime"": 0.1236932180571704}",market_percentile,median_impute_with_missing_penalty,0.8243259877075619,0.9971626856036152,1.0,1.0,0.8845000000000001,0.5,0.40259999999999996,0.5996537548903245,0.5996537548903245,0.2382327162835346,4.197576284232271,0.11768,0.019,0.041,1,3,4,5,5,5,lightweight deterministic proxy for requested large search budget
229,random_search,42,"{""bm"": 0.025368085462172486, ""distress"": 0.06902652000142263, ""ep"": 0.6103836462592745, ""gp"": 0.0805284099289458, ""liquidity"": 0.10211161790731911, ""piotroski"": 0.047579920421262745, ""sloan"": 0.06500180001960303}","{""anomaly"": 0.16899487250938866, ""microcap"": 0.11042798129898464, ""missing"": 0.2736616021226029, ""onetime"": 0.18784778575214076}",market_percentile,median_impute_with_missing_penalty,0.8239148562037516,0.9973369916074887,1.0,1.0,0.9915,1.0,0.63396,0.3559175345127369,0.3559175345127369,0.40137708599470695,2.491422741589158,0.07320800000000001,0.0,0.017,2,3,4,5,5,5,lightweight deterministic proxy for requested large search budget
852,nsga2_proxy,42,"{""bm"": 0.16748373121357996, ""distress"": 0.19869713232840217, ""ep"": 0.06757773084626122, ""gp"": 0.004186487548094196, ""liquidity"": 0.02581418737022712, ""piotroski"": 0.524939417169155, ""sloan"": 0.011301313524280172}","{""anomaly"": 0.0248538136508166, ""microcap"": 0.24475817793503185, ""missing"": 0.1624453092500097, ""onetime"": 0.0786951531498833}",market_percentile,median_impute_with_missing_penalty,0.8236039384590343,0.9387572627501615,0.6666666666666666,1.0,0.986,1.0,0.68758,0.4099540492416827,0.4099540492416827,0.3484711106559248,2.869678344691779,0.062484000000000005,0.0,0.028,0,1,4,4,4,5,lightweight deterministic proxy for requested large search budget
283,random_search,42,"{""bm"": 0.035100915078950475, ""distress"": 0.2218298812981898, ""ep"": 0.09178786247319902, ""gp"": 0.13534214568504402, ""liquidity"": 0.3530026148327857, ""piotroski"": 0.13200417078483212, ""sloan"": 0.030932409846998795}","{""anomaly"": 0.12803868649931346, ""microcap"": 0.270331593945203, ""missing"": 0.01288728821269337, ""onetime"": 0.02949497733775933}",market_percentile,median_impute_with_missing_penalty,0.8233908629034183,0.886375080697224,1.0,0.5,0.998,1.0,0.63556,0.648832056366446,0.648832056366446,0.22017583973449717,4.541824394565122,0.072888,0.0,0.004,0,0,1,3,4,5,lightweight deterministic proxy for requested large search budget
690,optuna_tpe_proxy,42,"{""bm"": 0.29676907944754854, ""distress"": 0.06360196024438144, ""ep"": 0.22090049370186743, ""gp"": 0.07958772932773361, ""liquidity"": 0.053756207617068286, ""piotroski"": 0.2051582813025262, ""sloan"": 0.08022624835887453}","{""anomaly"": 0.1998393313963229, ""microcap"": 0.1304465170489458, ""missing"": 0.12779762957210763, ""onetime"": 0.23380249529406605}",market_percentile,median_impute_with_missing_penalty,0.8232116502071192,0.9970852162685604,0.6666666666666666,1.0,0.997,0.5,0.67954,0.7190883912783921,0.7190883912783921,0.19866423181046225,5.033618738948745,0.06409199999999998,0.0,0.006,1,3,4,5,5,5,lightweight deterministic proxy for requested large search budget
389,random_search,42,"{""bm"": 0.0010007178860357777, ""distress"": 0.10397253913675981, ""ep"": 0.18834933770054915, ""gp"": 0.31690052476379027, ""liquidity"": 0.07725886893025864, ""piotroski"": 0.2429917380575924, ""sloan"": 0.06952627352501414}","{""anomaly"": 0.16524949950907997, ""microcap"": 0.18556207095095967, ""missing"": 0.06046550915231764, ""onetime"": 0.01767460180074105}",market_percentile,median_impute_with_missing_penalty,0.8231107132854679,0.9969302775984505,1.0,0.5,1.0,1.0,0.39564999999999995,0.6596638147148149,0.6596638147148149,0.2165605262415412,4.617646703003705,0.12087,0.0,0.0,2,3,4,5,5,5,lightweight deterministic proxy for requested large search budget
